sample_index,publication_id,reference_id,reference_order,article_file_id,probe_status,oai_identifier,dergipark_doi,dergipark_title,dergipark_year,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,context
641,1182531,17001915,69,108511,no_match,oai:dergipark.org.tr:article/108511,,,,0.0,0.0,0.0,0,0.0,False,"Yeşilyaprak, B. (2011). Duygusal zeka ve eğitim açısından doğurguları. Kuram ve Uygulamada Eğitim Yönetimi, 25(25), 139-146. https://dergipark.org.tr/en/download/article-file/108511"
2337,1373862,25571186,61,1172083,no_match,oai:dergipark.org.tr:article/1172083,,,,0.0,0.0,0.0,0,0.0,False,"Yalçın, E. Semih, “Dahiliye Vekili Nazım Bey’in İstifası Meselesi.” Atatürk Araştırma Merkezi Dergisi XI, 32 (1995): 405-416. https://dergipark.org.tr/tr/download/article-file/1172083"
2544,1352381,24701262,25,227124,no_match,oai:dergipark.org.tr:article/227124,10.21560/spçd.94157,PROFILE OF EDUCATION LEVEL AND WORK STATUS OF THE PEOPLE WITH DİSABILITIES LIVING IN TURKEY,2012,0.0092,0.0,0.0462,9,0.0,False,"Baki, Ensar: “Türk Ceza Kanununda Etkin Pişmanlık”, (Yıldırım Be- yazıt Üniversitesi Hukuk Fakültesi Dergisi, 2016/2, s.27-58), 23/06/2024 tarihinde https://dergipark.org.tr/tr/download/article-file/227124 adresinden erişildi."
2803,1332319,23919932,19,3534084,no_match,oai:dergipark.org.tr:article/3534084,,,,0.0,0.0,0.0,0,0.0,False,"Demirkaya, H., Yıldız, B., Erener Özalçın, S., & Öztürk, H. (2023). İnsan kaynaklarında sessizliğin yankıları: Örgütlerde sessiz istifa fenomeninin anatomisi. Süleyman Demirel Üniversitesi İnsan Kaynakları Yönetimi Dergisi, 2(2), 69-88. https://dergipark.org.tr/en/download/article-file/3534084"
3106,1198651,17844664,64,200349,no_match,oai:dergipark.org.tr:article/200349,,,,0.0,0.0,0.0,0,0.0,False,"Uysal, İ. (2013). Akademisyenlerin genel öz-yeterlik inançları: AİBÜ Eğitim fakültesi örneği. Trakya Üniversitesi Eğitim Fakültesi Dergisi, 3(2), 144-151. Erişim adresi: https://dergipark.org.tr/tr/download/article-file/200349"
4133,1356322,24864948,8,1291023,no_match,oai:dergipark.org.tr:article/1291023,,,,0.0,0.0,0.0,0,0.0,False,"Çetin-Erus, Z. (2020). Türkiye sinemasında uyarlamalara genel bir bakış. Türkiye Araştırmaları Literatür Dergisi, 18(36), 583-592. https://dergipark.org.tr/tr/download/article-file/1291023"
4341,1324308,23568532,6,2107803,no_match,oai:dergipark.org.tr:article/2107803,,,,0.0,0.0,0.0,0,0.0,False,"6. Cengiz, G. [2021]. “Sürdürülebilir Tüketim Ekseninde Sürdürü-lebilir Moda Pazarlaması Uygulamaları”, İktisadi ve İdari Yaklaşımlar Dergisi, 3[2], : 131 144. [https://dergipark.org.tr/ en/download/article-file/2107803 Erişim Tarihi 12.03.2022]."
4864,1197604,17765420,17,539696,no_match,oai:dergipark.org.tr:article/539696,,,,0.0,0.0,0.0,0,0.0,False,"Dikkaya, M. & Özyakışır, D. (2006). Küreselleşme ve bilgi toplumu: Eğitimin küreselleşmesi ve neo-liberal politikaların etkileri. Uluslararası İlişkiler Dergisi, 3(9), 151-172. https://dergipark.org.tr/tr/download/article-file/539696 adresinden erişilmiştir."
5338,1364555,25216943,13,417668,no_match,oai:dergipark.org.tr:article/417668,10.30720/ered.417668,Tekerlekli Sandalye Kullanan Sporcuların Öz Etkililik-Yeterlilik ve Başa Çıkma Stratejilerinin İncelenmesi,2018,0.0104,0.0,0.0519,10,0.0,False,"Dilay, S. (2011). Sanatsal ve kültürel açıdan balık motifleri. Türk Bilimsel Derlemeler Dergisi, 4(1), 53–56. 20 Kasım 2024 tarihinde https://dergipark.org.tr/en/download/article-file/417668 adresinden erişilmiştir."
5720,1329079,23766233,2,17498,no_match,oai:dergipark.org.tr:article/17498,,The incidence of endoscopic celiac (gluten) disease in the Erzurum area in an adult population,2013,0.004,0.0,0.0199,9,0.0,False,"Atmaca, T. ve Öntaş, T. (2014). Velilerin öğretmenlere uyguladığı şiddete yönelik nitel bir araştırma. Anadolu Eğitim Liderliği ve Öğretim Dergisi, 2(1), 47-62. Erişim: https://dergipark.org.tr/tr/download/article-file/17498"
