sample_index,publication_id,reference_id,reference_order,query_mode,dergipark_slug,dergipark_article_id,dergipark_issue_id,dergipark_article_file_id,dergipark_status,oai_identifier,dergipark_doi,dergipark_title,dergipark_year,dergipark_source,dergipark_url,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,context
3,1310658,22786126,14,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Coşkun, Nusret Safa. Millî Bir Edebiyat Yaratabilir Miyiz?. Hazırlayan Şaban Özdemir. Ankara: Çolpan Yayınları, 2019."
4,1186783,17188825,15,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Bozer Ali/Göle Celal, Kıymetli Evrak Hukuku, 9. Bası, Banka ve Ticaret Hukuku Araştırma Enstitüsü Yayınları, Ankara 2020."
5,1186783,17188890,80,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Yeşilova Aras Ece, “Yük Senedinin (Ttk M. 859) Türk Ticaret Kanunu’nda Yeniden Yer Alması, Karayolu Taşımacılığında Kıymetli Evraka İmkan Verilmesi Midir?”, Legal Hukuk Dergisi, C. 11, S. 123, Y. 2013, s. 49 65."
7,1368239,25368331,64,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Tanğ, E. (2017). Türkiye’de 1923–1950 dönemi ulus devlet yapılanması ve gençlik politikaları [Nation-state formation and youth policies in Turkey during 1923–1950] (Unpublished master’s thesis). Balıkesir Üniversitesi, Sosyal Bilimler Enstitüsü, Sosyoloji ABD, Balıkesir."
9,1341641,24271733,30,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Güler M, Laloğlu F, Olgun H, Ceviz N. Clinical characteristics of pediatric patients with first-attack acute rheumatic fever follow-ing the updated guideline. Turk Pediatri Ars. 2019;54(4):220-224. [CrossRef]"
10,1272759,21059412,8,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Baron, S. W. (2007). Modern milliyetçilik ve din. Açılım Kitap."
11,1272759,21059430,26,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Kedourie, E. (1971). Avrupa’da milliyetçilik. Milli Eğitim Basımevi."
12,1272759,21059448,44,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Rocker, R. (2019). Milliyetçilik ve kültür. Kaos."
13,1312602,22900134,45,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Roth, C. E. (1968). On the Road to Conservation. Massachusetts Audubon, 38-41."
17,1311311,22813337,1,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Adobe Video & Motion. (2024, 15 April). Generative AI in Premiere Pro powered by Adobe Firefly | Adobe Video [Video]. Retrieved from https://www.youtube.com/watch?v=6de4akFiNYM on May 16, 2024."
19,1185661,17184433,14,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"14. Niedderer, K., Roworth-Stokes, S., (2007), The role and use of creative practice in research and its contribution to knowledge. International Association of Societies of Design Research, IASDR07 Conference. 1–18, 12-15 November 2007, Hong Kong: Hong Kong Polytechnic University, p.15."
20,1379429,25746865,58,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"McTaggart, R. (Ed.). (1997). Participatory action research: International contexts and consequences. Suny Press."
21,1379429,25746888,81,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Steen, L. A. (1999). Twenty questions about mathematical reasoning. In L. V. Stiff and F. R. Curcio (Eds.), Developing Mathematical Reasoning in Grades K-12 (pp. 270-285). Reston, VA: National Council of Teachers of Mathematics."
24,1241401,19728756,15,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Furrer A, Müller-Chen M ve Çetiner B, Borçlar Hukuku Genel Hükümler (On İki Levha 2021)."
25,1241401,19728759,18,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Girsberger D und Hermann JL, Basler Kommentar, Obligationenrecht I (Art. 1-529 OR), Fünfter Titel: Die Abtretung von Forderungen und die Schuldübernahme (7. Auflage, Helbing Lichtenhahn Verlag 2020)."
28,1376353,25660388,20,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Jex, S. M. (1998). Stress and job performance: Theory, research, and implications for managerial practice. Sage Publications Ltd."
29,1376353,25660402,34,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Yetim, A., & Cengiz, R. (2010). İletişim ve Spor. Berikan Yayınevi"
30,1239899,20206230,23,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Merriman, J. (2009). A history of modern Europe: From the Renaissance to the present. WW Norton & Company."
31,1348868,24565232,4,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"[4]. Kundak, S, Aydoğuş, I. 2018. Türkiye’de imalat sanayinin ithalata bağımlılığının analizi. Gaziantep University Journal of Social Sciences; 17(1): 252-266."
32,1348868,24565234,6,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"[6]. T.C. Cumhurbaşkanlığı Strateji ve Bütçe Başkanlığı, https://www.sbb.gov.tr/wp- content/uploads/2023/12/On-Ikinci-Kalkinma-Plani_2024-2028_11122023.pdf , (2023)."
35,1249355,20048152,46,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Twitter. (2022). Hekimsen 17-18 Mayıs basın açıklaması. https://twitter.com/hekimsen/status /1526457625638051842/photo/2, (03.05.2023)."
39,1206982,18224388,67,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,Türkiye Cumhuriyeti. (2013). Yabancılar ve Uluslararası Koruma Kanunu [Law No. 6458]. https://www.mevzuat.gov.tr/MevzuatMetin/1.5.6458.pdf
40,1206982,18224392,71,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,Türkiye Cumhuriyeti. (2021). Cumhurbaşkanlığı Kararnamesi No. 85. https://www.resmigazete.gov.tr/eskiler/2021/11/20211129M1-1-4.pdf
44,1286621,21779113,9,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Ken, E., & Semerci, A. (2023). Türkiye’de buğday üretimi ve destekleme politikaları. 3rd International Congress of the Turkish Journal of Agriculture - Food Science and Technology, 13-16 September 2023, Malatya, 54-63."
45,1286621,21779119,15,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Semerci, A., & Çelik, A.D. (2022). Türkiye’de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği. Çukurova 8th International Scientific Researches Conference, April 15-17, Adana, 822-831."
46,1331693,23886292,5,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
48,1331693,23886312,25,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Milkova, S. (2016). Strategies for effective lesson planning. University of Michigan: Center for Research on Learning and Teaching. https://crlt.umich.edu/sites/default/files/instructor_resources/strategies_for_effective_lesson_planning.pdf"
49,1320153,23381983,76,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Tickner, J. A. (1999). Searching for the princess?. Feminist perspectives in international relations, Harvard International Review, 21 (4), 44-48."
50,1320153,24622035,101,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,Rudaw Gazetesi (03.08.2020). Şengal Katliamı: Bir insanlık dramı. https://www.rudaw.net/turkish/kurdistan/030820201
51,1188828,17270273,6,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Becker, F. D. (1977). Housing messages. Dowden, Hutchinson & Ross."
53,1188828,17270319,52,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Sarvari, H. (2018). Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning. Creative City Design, 1(1), 37–42."
54,1188828,17270326,59,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Ward, C. (1990). The child in the country. Bedford Square Press."
56,1348445,24543843,10,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Doğu, E. ve Özgürel, B. (2008). Kalite Fonksiyon Göçerimi ile bireysel emeklilik sistemleri pazarlayan sigorta şirketlerinin teknik özelliklerinin incelenmesi üzerine bir çalışma. İsletme Fakültesi Dergisi , 33-45."
57,1257490,20398368,3,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Amerikan Psikiyatri Birliği. (2014). Tanı ölçütleri başvuru el kitabı (5. baskı, E. Köroğlu, Çev.). HYB Yayınları."
58,1257490,20398386,21,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Büyüköztürk, Ş. (2002). Sosyal bilimler için veri analiz el kitabı. Pegem Yayıncılık."
65,1253700,20240148,49,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Lohmann, Hans. “Risultati di una survey condotta nella penisola di Kazıklı,” Iasos e la Caria. Nuovi studi e ricerche (La Parola del Passato, 60/2-6). Ed. Raffaella Pierobon Benoit. Napoli: Macchiaroli Editore, 2005, 332-356."
70,1156170,17531545,3,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"ANADOLU AJANSI, “Milli Savunma Bakanı Akar Tacikistan’da Cumhurbaşkanı Rahman ile görüştü” https://www.aa.com.tr/tr/politika/milli-savunma-bakani-akar-tacikistanda-cumhurbaskani-rahman-ile-gorustu/2291528 , 05.08.2022"
71,1197104,17730825,23,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Daldal, Ş. (2016) “Neoliberazim, Finansallaşma Ve Emek Piyasaları”, Journal Of Emerging Economies And Policy, 1 December, 85- 104."
73,1197104,17730863,61,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Mandelbaum, M. (1978) Flexibility in Decision Making. An Exploration and Unification, Toronto: Department of Industrial Engineering, University of Toronto."
76,1287910,22427156,9,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Martin, B. (2013). Asılı Adam Ai Weiwei’nin Tutuklanışı, Metis Yayınları, İstanbul."
77,1287910,22427162,15,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Twomey, C. (2018). Ceramics Collections-Exploring Object Engagement Beyond The Known Historic Models of Clay Practice. Westminster Üniversitesi Doktora Tezi"
81,1209869,18378693,37,no_oai_filter,,,,,no_oai_filter,,,,,,,,,,,,,"Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
