sample_index,publication_id,reference_id,reference_order,fallback_status,original_doi,fallback_doi
378,1238342,19609166,3,strong,10.1016/j,10.1016/j.forsciint.2011.07.047
766,1218084,19302567,30,strong,10.1038/s41415.020.2406-9,10.1038/s41415-020-2406-9
1239,1369890,25426417,15,strong,10.1007/s00266-024-03961-,10.1007/s00266-024-03961-y
1325,1391617,26160420,59,strong,10.1186/s40643-021-00416-2,10.1186/s40643-021-00416-z
1371,1325523,23779975,24,strong,10.1046/j,10.1046/j.1442-2026.2003.00499.x
1502,1278854,21343544,14,strong,10.1016/0029-7844(95),10.1016/0029-7844(95)00386-x
1613,1264649,20693334,7,strong,10.5137/1019-5149,10.5137/1019-5149.jtn.44241-23.1
1761,1360087,25235731,17,possible,10.5812/intjsh.104315,10.18535/jmscr/v8i5.60
1986,1180407,16891274,25,strong,10.37990/medr,10.37990/medr.873475
1987,1180407,16891283,34,strong,10.1007/s00415-010-5503-x/tables/4,10.1007/s00415-010-5503-x
2040,1190770,17543423,46,strong,10.1016/j,10.1016/j.jpor.2019.06.005
2532,1333057,24222749,54,strong,10.3390/buildings13040278,10.3390/buildings13041075
2657,1267976,21218821,19,strong,10.1097/nmd.000.000.0000001271,10.1097/nmd.0000000000001271
2697,1180099,16878249,50,strong,10.1016/j,10.1016/j.foodchem.2008.03.078
2757,1285519,21727332,25,possible,10.1002/j.2164-,10.1002/j.2164-490x.2000.tb00088.x
2804,1332319,23919933,20,strong,10.1080/19368623.2022.213660,10.1080/19368623.2022.2136601
3090,1281855,21524533,30,strong,10.5455/ovj.2024.v14,10.5455/ovj.2024.v14.i2.9
3206,1201931,17961136,45,strong,10.1080/0951,10.1007/978-3-642-10430-5_110
3243,1348525,24547282,10,strong,10.1016/j,10.1016/j.jdent.2017.05.010
3293,1314702,23066136,6,strong,10.1249/01.mss.0000078924.61453,10.1249/01.mss.0000078924.61453.fb
3432,1289569,22887598,22,strong,10.14781/mcd.2014308140,10.14781/mcd.26337
3497,1269439,20898371,22,strong,10.1080/030.982.60120067673,10.1080/03098260120067673
3627,1372690,25529395,76,strong,10.1007/s00181-015-1021-y,10.1007/s00181-015-1028-6
3659,1209081,18315163,41,strong,10.1590/2175-8239-,10.1590/2175-8239-jbn-2021-0035
3805,1211651,18468123,85,strong,10.1111/j.1467-,10.1111/j.1467-6494.1997.tb00326.x
3917,1196693,17709223,11,strong,10.30855/gjes.2019.05.02.004,10.31458/iejes.600483
4020,1330672,23838561,47,strong,10.21031/epod.1029044öztürk,10.21031/epod.1029044
4154,1358398,24945682,13,strong,10.55050/sarad.125777,10.55050/sarad.1257771
4236,1243064,20692639,15,strong,10.1111/j.1572-0241,10.1111/j.1572-0241.2005.40925.x
4561,1279210,21365363,34,strong,10.1016/j,10.1016/j.jcot.2024.102419
4820,1375165,26092345,3,strong,10.1097/xeb.000.000.0000000341,10.1097/xeb.0000000000000341
4987,1190225,17356887,40,strong,10.1111/j1467-9442.2011.01650.x,10.1111/j.1467-9442.2011.01650.x
5505,1389539,26085441,11,strong,10.7759/cureus.233993,10.7759/cureus.60676
5741,1368927,25391673,68,strong,10.1007/s10551.015.2999-0,10.1007/s10551-015-2999-0
5867,1303283,22506665,14,strong,10.1016/b978-0-323-35401-1/00029-6,10.1016/b978-0-323-35401-1.00029-6
6261,1331145,23859335,10,strong,10.48550/arxiv.2302.10521,10.1016/j.intell.2023.101736
6567,1250846,20117730,14,strong,10.1007/s1119502009617-4,10.1007/s11195-020-09617-4
6675,1340744,24223437,23,strong,10.1016/j.ejop.2009.05.00,10.1016/j.ejop.2009.05.002
6745,1197533,17800378,40,strong,10.1080/14678.802.2020.1833520,10.1080/14678802.2020.1833520
6894,1221124,18811639,20,strong,10.1016/j,10.1016/j.actatropica.2020.105434
7241,1163590,16599021,31,strong,10.1371/journal,10.1371/journal.pone.0121382
7825,1359369,25009794,16,strong,10.1007/s10194-009-0117-8,10.1007/s10194-009-0107-5
7842,1227253,19415612,22,strong,10.1016/j,10.1016/j.arth.2008.04.031
7896,1265441,21244234,35,strong,10.1111/j.1600-,10.1111/j.1600-0587.1984.tb01108.x
7919,1330732,23841023,9,strong,10.1016/j,10.1016/j.ajem.2023.09.052
8005,1275143,21461824,8,strong,10.4103/ajm.ajm,10.4103/ajm.ajm_53_20
8006,1275143,21461849,33,strong,10.1016/j,10.1016/j.bmcl.2015.02.004
8126,1294314,22105362,62,strong,10.1177/07319487124385,10.1177/0731948712438558
8453,1231100,20252562,13,strong,10.1016/j,10.1016/j.idc.2013.09.003
8469,1279433,21378906,29,strong,10.1016/j,10.1016/j.bbadis.2021.166229
8647,1364898,25230716,7,strong,10.5555/944919.944937,10.7551/mitpress/1120.003.0082
8746,1351780,24677513,33,strong,10.1016/j,10.1016/j.pharmthera.2021.108004
8931,1295949,22170962,39,strong,10.1080/00472.778.2021.1938098,10.1080/00472778.2021.1938098
8951,1365461,25260295,36,strong,10.2139/ssrn.14691,10.2139/ssrn.1469137
8979,1371644,25491592,33,strong,10.1520/jfs2004065,10.1520/jfs2004508
9303,1313865,22991084,31,strong,10.5151/proceedingsecaadesigradi2019_353,10.5151/proceedings-ecaadesigradi2019_353
9351,1370092,25434431,22,strong,10.1177/-0010880407301735,10.1177/0010880407301735
9366,1333744,23973354,44,strong,10.1007/978-981-10-4106-8_13/tables/3,10.1007/978-981-10-4106-8_13
9419,1281894,21527288,177,strong,10.1016/j,10.1016/j.taap.2004.06.028
9630,1315137,23090624,25,strong,10.1016/s01452134(02)00342-3,10.1016/s0145-2134(02)00342-3
9716,1185580,17133175,11,possible,10.4261/1305-3825,10.4261/1305-3825.dir.1851-08.2
9949,1354722,24794003,35,strong,10.3835/bitki,10.3835/plantgenome2014.09.0059
9997,1330533,23832780,1,strong,10.36892/ijlls,10.36892/ijlls.v2i1.120
