sample_index,publication_id,reference_id,reference_order,query_mode,pmid,europepmc_status,europepmc_id,europepmc_source,europepmc_doi,europepmc_title,europepmc_year,europepmc_journal,confidence,title_coverage,title_similarity,title_token_count,author_coverage,year_match,request_key,query,context
9,1341641,24271733,30,title,,no_match,42220349,MED,10.3389/fpsyg.2026.1812545,Dataset model of academic boredom among junior high school students in Indonesian Islamic boarding schools.,2026,Front Psychol,0.05,0.0,0.25,13,0.0,False,query:54(4):220-224 2019,54(4):220-224 2019,"Güler M, Laloğlu F, Olgun H, Ceviz N. Clinical characteristics of pediatric patients with first-attack acute rheumatic fever follow-ing the updated guideline. Turk Pediatri Ars. 2019;54(4):220-224. [CrossRef]"
148,1176987,16735765,31,title,,no_match,42220567,MED,10.1080/20523211.2026.2664886,International patented medicine prices: how does Canada compare to the OECD? A descriptive analysis of list prices.,2026,J Pharm Policy Pract,0.0531,0.0833,0.0365,12,0.0,False,query:4(1): 23-9 32 2012,4(1): 23-9 32 2012,"31. Ergöl S, Eroglu K, Taskın L. Approach to the Woman in Labor: Oral nutrition. J Nurs Sci. 2012; 4(1): 23-9. 32. Rathfish G. Labor. In: Beji NK, editor. Woman’s Health and Diseases. 1st ed. İstanbul: Nobel Medicine Bookstore; 2015: 312-4."
420,1278349,21317526,48,title,,no_match,41769676,MED,10.4103/jrms.jrms_547_24,"The effect of riboflavin on the mean attack frequency, severity, and duration of migraine headaches: A systematic review and dose-response meta-analysis of clinical trials.",2026,J Res Med Sci,0.0396,0.0667,0.0149,15,0.0,False,query:29(8):1735-40 2009,29(8):1735-40 2009,"47. Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L. [Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease]. Nan Fang Yi Ke Da Xue Xue Bao. 2009;29(8):1735-40. [PubMed]"
526,1237659,22228769,29,pmid,17159822,strong,17159822,MED,,"Progesterone and its metabolites 5-dihydroprogesterone and 5-3-tetrahydroprogesterone decrease LPS-induced NO release in the murine microglial cell line, BV-2.",2006,Neuro Endocrinol Lett,1.0,1.0,1.0,13,1.0,True,pmid:17159822,17159822,"29. Müller E., Kerschbaum H.H. 2006. “Progesterone and its metabolites 5-dihydroprogesterone and 5-3- tetrahydroprogesterone decrease LPS-induced NO release in the murine microglial cell line, BV-2.”, Neuro Endocrinol Lett., 27(5), 675-8. PMID: 17159822."
546,1339538,24175574,10,title,,strong,16519185,MED,,A clinical study of the outcomes and complications associated with maxillary sinus augmentation.,2006,Int J Oral Maxillofac Implants,1.0,1.0,1.0,7,1.0,True,"query:TITLE:""A clinical study of the outcomes and complications associated with maxillary sinus augmentation""","TITLE:""A clinical study of the outcomes and complications associated with maxillary sinus augmentation""","10. Barone A, Santini S, Sbordone L, Crespi R, Covani U. A clinical study of the outcomes and complications associated with maxillary sinus augmentation. Int J Oral Maxillofac Implants. 2006;21:81-5."
633,1214153,18883924,49,not_checked,,no_match,,,,,,,,,,,,,,,"Taşkaya, S. (2020). Determination of the level of efficiency of training and research hospital in Turkey with pabon lasso and data envelopment analysis. Hacettepe Sağlık İdaresi Dergisi, 23(1), 247-260."
821,1267694,20814698,27,title_journal_year,,no_match,PMC12640885,PMC,,ESICM LIVES 2025,2025,Intensive Care Med Exp,0.0062,0.0,0.0311,3,0.0,False,query:Evaluation according to the functional health pattern model and NANDA diagnoses of patient care plans made by nurses in a psychiatry department J Psychiatr Nurs [Article in Turkish] 2011,Evaluation according to the functional health pattern model and NANDA diagnoses of patient care plans made by nurses in a psychiatry department J Psychiatr Nurs [Article in Turkish] 2011,"27. Sabancıoğulları S, Elvan E, Kelleci M, Doğan S. Evaluation ac- cording to the functional health pattern model and NANDA diagnoses of patient care plans made by nurses in a psychiatry department. J Psychiatr Nurs [Article in Turkish] 2011;2:117– 22."
828,1232278,19375362,4,title,,strong,14653298,MED,,The effect of prophylactic polishing pastes and toothbrushing on the surface roughness of resin composite materials in vitro.,2003,Oper Dent,1.0,1.0,1.0,11,1.0,True,"query:TITLE:""The effect of prophylactic polishing pastes and toothbrushing on the surface roughness of resin composite materials in vitro""","TITLE:""The effect of prophylactic polishing pastes and toothbrushing on the surface roughness of resin composite materials in vitro""","4. Neme AM, Wagner WC, Pink FE, Frazier KB. The effect of prophylactic polishing pastes and toothbrushing on the surface roughness of resin composite materials in vitro. Oper Dent 2003; 28: 808-815."
830,1232278,19375373,15,title,,strong,25612331,MED,,The effect of prophylactic powders on the surface roughness of enamel.,2014,Compend Contin Educ Dent,1.0,1.0,1.0,6,1.0,True,"query:TITLE:""The effect of prophylactic powders on the surface roughness of enamel""","TITLE:""The effect of prophylactic powders on the surface roughness of enamel""","15. Fratolin MM, Bianco VC, Santos MJ, Rizkalla AS, Santos GC Jr. The effect of prophylactic powders on the surface roughness of enamel. Compend Contin Educ Dent 2014; 35: 31-35."
989,1378079,25706245,3,title,,no_match,40441813,MED,10.1016/s2468-2667(25)00069-6,"The epidemiology and burden of injury in countries of the Association of Southeast Asian Nations (ASEAN), 1990-2021: findings from the Global Burden of Disease Study 2021.",2025,Lancet Public Health,0.3688,0.3125,0.2347,16,1.0,False,"query:Neurological Disorders Collaborator Group Global, regional, and national burden of neurological disorders during 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015 2015","Neurological Disorders Collaborator Group Global, regional, and national burden of neurological disorders during 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015 2015","3.GBD 2015 Neurological Disorders Collaborator Group. Global, regional, and national burden of neurological disorders during 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015. Lancet Neurol. 2017 Nov;16(11):877-897. [Crossref]"
