sample_index,publication_id,reference_id,reference_order,parsed_title,parsed_journal,parsed_year,parsed_authors,parser,crossref_query,context
31,1348868,24565232,4,Türkiye’de imalat sanayinin ithalata bağımlılığının analizi,Gaziantep University Journal of Social Sciences,2018,"Kundak, S, Aydoğuş, I",loose_year,"Türkiye’de imalat sanayinin ithalata bağımlılığının analizi Kundak, S, Aydoğuş, I Gaziantep University Journal of Social Sciences 2018","[4]. Kundak, S, Aydoğuş, I. 2018. Türkiye’de imalat sanayinin ithalata bağımlılığının analizi. Gaziantep University Journal of Social Sciences; 17(1): 252-266."
46,1331693,23886292,5,Why did I ask that question? Bilingual/ESL pre-service teachers’ insights,International Journal of Instruction,2013,"Diaz, Z., Whitacre, M., Esquierdo, J",apa,"Why did I ask that question? Bilingual/ESL pre-service teachers’ insights Diaz, Z., Whitacre, M., Esquierdo, J International Journal of Instruction 2013","Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
49,1320153,23381983,76,,,1999,,unparsed,,"Tickner, J. A. (1999). Searching for the princess?. Feminist perspectives in international relations, Harvard International Review, 21 (4), 44-48."
53,1188828,17270319,52,Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning,Creative City Design,2018,"Sarvari, H",apa,"Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning Sarvari, H Creative City Design 2018","Sarvari, H. (2018). Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning. Creative City Design, 1(1), 37–42."
81,1209869,18378693,37,Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama,Sosyal Ekonomik Araştırmalar Dergisi,2011,"Yapraklı, S",apa,"Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama Yapraklı, S Sosyal Ekonomik Araştırmalar Dergisi 2011","Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
97,1332746,23940469,37,Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion,"International Transaction Journal of Engineering, Management & Applied Sciences & Technologies",2020,"Mohammad, N., Bibi, Z., Karim, J., & Durrani, D",apa,"Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion Mohammad, N., Bibi, Z., Karim, J., & Durrani, D International Transaction Journal of Engineering, Management & Applied Sciences & Technol","Mohammad, N., Bibi, Z., Karim, J., & Durrani, D. (2020). Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion. International Transaction Journal of Engineering, Management & Applied Sciences & Technologies, 11(6), 1-10."
103,1263119,20632708,10,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry,JACC Cardiovasc Interv,2015,"Nazif TM, Dizon JM, Hahn RT",vancouver,"Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry Nazif TM, Dizon JM, Hahn RT JACC Cardiovasc Interv 2015","10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
145,1350863,24806895,73,Hukuksal Aklın Transhümanistik Temsilleri Ve OntoRobotik Varoluş Formları,Adalet Dergisi,2021,"Kılıç, M",apa,"Hukuksal Aklın Transhümanistik Temsilleri Ve OntoRobotik Varoluş Formları Kılıç, M Adalet Dergisi 2021","Kılıç, M. (2021). Hukuksal Aklın Transhümanistik Temsilleri Ve Onto- Robotik Varoluş Formları. Adalet Dergisi, 66, 15-54."
148,1176987,16735765,31,Approach to the Woman in Labor: Oral nutrition,J Nurs Sci,2012,"Ergöl S, Eroglu K, Taskın L",vancouver,"Approach to the Woman in Labor: Oral nutrition Ergöl S, Eroglu K, Taskın L J Nurs Sci 2012","31. Ergöl S, Eroglu K, Taskın L. Approach to the Woman in Labor: Oral nutrition. J Nurs Sci. 2012; 4(1): 23-9. 32. Rathfish G. Labor. In: Beji NK, editor. Woman’s Health and Diseases. 1st ed. İstanbul: Nobel Medicine Bookstore; 2015: 312-4."
155,1292878,22053278,21,"Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi",Acıbadem Üniversitesi Sağlık Bilimleri Derg,2021,"Çolak GA, Sağlam D",vancouver,"Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi Çolak GA, Sağlam D Acıbadem Üniversitesi Sağlık Bilimleri Derg 2021","Çolak GA, Sağlam D. Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi. Acıbadem Üniversitesi Sağlık Bilimleri Derg. 2021; 12(2): 291-5."
197,1198158,17880329,16,Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi,BDDK Bankacılık ve Finansal Piyasalar Dergisi,2009,"Korkmaz, T., & Çevik, E",apa,"Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi Korkmaz, T., & Çevik, E BDDK Bankacılık ve Finansal Piyasalar Dergisi 2009","Korkmaz, T., & Çevik, E. İ. (2009). Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi. BDDK Bankacılık ve Finansal Piyasalar Dergisi, 3(2), 87-105."
201,1189906,17315952,24,,,2006,,unparsed,,"Ocak, Gürbüz & Gündüz, M.(2006). Eğitim fakültesini yeni kazanan öğretmen adaylarının öğretmenlik mesleğine giriş dersini almadan önce ve aldıktan sonra öğretmenlik mesleği hakkındaki metaforlarının karşılaştırılması, Afyon Kocatepe Üniversitesi Sosyal Bilimler Dergisi, 8(2), 293-311."
219,1276601,21392458,9,,,2002,,unparsed,,"Koçak, Ö. (2004b). “Afyon-Bolvadin Yüzey Araştırmaları 2002 (Neolitik Çağdan İlk Tunç Çağına Kadar)”, Araştırma Sonuçları Toplantısı-21, cilt.1, 173-184."
270,1326191,23640898,70,"Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye)",Biharean Biologist,2023,"Tel, A",apa,"Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye) Tel, A Biharean Biologist 2023","Tel, A. Z., Ortaç, İ., Özuslu, E., & İlçim, A. (2023). Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye). Biharean Biologist, 18(1): 1 – 11."
306,1348061,24529876,37,On local polynomial regression estimators in finite populations. Int. J. Stats. Appl,Math,2020,"Kikechi, C",apa,"On local polynomial regression estimators in finite populations. Int. J. Stats. Appl Kikechi, C Math 2020","[37] Kikechi, C. B. (2020). On local polynomial regression estimators in finite populations. Int. J. Stats. Appl. Math, 5, 58-63."
335,1238800,19626547,2,İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods],Selçuk Üniversitesi Fen Fakültesi Fen Derg,2017,"Çimen B, Erdoğan M, Oğul R",vancouver,"İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods] Çimen B, Erdoğan M, Oğul R Selçuk Üniversitesi Fen Fakültesi Fen Derg 2017","2. Çimen B, Erdoğan M, Oğul R. İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods]. Selçuk Üniversitesi Fen Fakültesi Fen Derg. 2017;43(2):139-47. [Link]"
345,1275240,21181337,53,Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği,Fırat Üniversitesi Sosyal Bilimler Dergisi,2005,"Karagöz, M., & Doğan, Ç",apa,"Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği Karagöz, M., & Doğan, Ç Fırat Üniversitesi Sosyal Bilimler Dergisi 2005","Karagöz, M., & Doğan, Ç. (2005). Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği. Fırat Üniversitesi Sosyal Bilimler Dergisi, 15(2), 219-228."
355,1315322,23103410,32,The impact of innovation and smart government on happiness: Proposing conceptual framework,International Journal of Management and Human Scienc,2018,"Shamsi, R",apa,"The impact of innovation and smart government on happiness: Proposing conceptual framework Shamsi, R International Journal of Management and Human Scienc 2018","Shamsi, R. S. H. A., Ameen, A. A., Isaac, O., Al-Shibami, A. H., & Khalifa, G. S. (2018). The impact of innovation and smart government on happiness: Proposing conceptual framework. International Journal of Management and Human Scienc, 2(2), 10-26."
394,1310137,22764796,17,The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage,Journal of Crops Improvement,2023,"Heidari, F., Jalilian, J., & Gholinezhad, E",apa,"The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage Heidari, F., Jalilian, J., & Gholinezhad, E Journal of Crops Improvement 2023","Heidari, F., Jalilian, J., & Gholinezhad, E. (2023). The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage. Journal of Crops Improvement, 25(3), 769-785."
420,1278349,21317526,48,[Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease],Nan Fang Yi Ke Da Xue Xue Bao,2009,"Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L",vancouver,"[Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease] Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L Nan Fang Yi Ke Da Xue Xue Bao 2009","47. Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L. [Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease]. Nan Fang Yi Ke Da Xue Xue Bao. 2009;29(8):1735-40. [PubMed]"
423,1372430,25519113,25,,,2016,,unparsed,,"Usman M, Ahmed S, Mehmood T, Hak NU (2016) Determinants Of Financial Sustainability Of Microfinance Institutions In Pakistan. Journal of Contemporary Issues in Business Research 5: 92-99."
