sample_index,publication_id,reference_id,reference_order,target_publication_id,reference_year,reference_journal_code,reference_authors,source_doi,hidden_doi,trdizin_status,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_issn,target_eissn,target_doc_type,request_error,context
9,1341641,24271733,30,334823,2019,494,Mühlike GÜLER; Haşim OLGUN; Naci CEVİZ; Fuat LALOĞLU,,,strong_doi_crossref,10.14744/turkpediatriars.2019.69376,ok,10.14744/turkpediatriars.2019.69376,Güncellenenkılavuz sonrasında ilk atak akut romatizmal ateş tanısı alan çocuk hastaların klinik özellikleri,2019,Türk Pediatri Arşivi,494,1306-0015,1308-6278,PAPER,,"Güler M, Laloğlu F, Olgun H, Ceviz N. Clinical characteristics of pediatric patients with first-attack acute rheumatic fever follow-ing the updated guideline. Turk Pediatri Ars. 2019;54(4):220-224. [CrossRef]"
31,1348868,24565232,4,300133,2018,558,Sabriye KUNDAK; İsmail AYDOĞUŞ,,,strong_doi_crossref,10.21547/jss.348833,ok,10.21547/jss.348833,Türkiyede İmalat Sanayinin İthalata Bağımlılığının Analizi,2018,Gaziantep Üniversitesi Sosyal Bilimler Dergisi,558,1303-0094,2149-5459,PAPER,,"[4]. Kundak, S, Aydoğuş, I. 2018. Türkiye’de imalat sanayinin ithalata bağımlılığının analizi. Gaziantep University Journal of Social Sciences; 17(1): 252-266."
56,1348445,24543843,10,84528,2008,360,Banu ÖZGÜREL; Eralp DOĞU,,,strong_trdizin_id,,no_doi,,KaliteFonksiyon Göçerimi ile Bireysel Emeklilik Sistemleri Pazarlayan Sigorta Şirketlerinin Teknik Özelliklerinin İncelenmesi Üzerine Bir Çalışma,2008,Dokuz Eylül Üniversitesi İşletme Fakültesi Dergisi,360,1303-0027,3062-1119,PAPER,,"Doğu, E. ve Özgürel, B. (2008). Kalite Fonksiyon Göçerimi ile bireysel emeklilik sistemleri pazarlayan sigorta şirketlerinin teknik özelliklerinin incelenmesi üzerine bir çalışma. İsletme Fakültesi Dergisi , 33-45."
145,1350863,24806895,73,462879,2021,2680,Muharrem KILIÇ,,,strong_trdizin_id,,no_doi,,HUKUKSALAKLIN TRANSHÜMANİSTİK TEMSİLLERİ VE ONTO-ROBOTİK VAROLUŞ FORMLARI,2021,Adalet Dergisi ,2680,1011-730X,2717-6614,PAPER,,"Kılıç, M. (2021). Hukuksal Aklın Transhümanistik Temsilleri Ve Onto- Robotik Varoluş Formları. Adalet Dergisi, 66, 15-54."
155,1292878,22053278,21,474402,2021,960,Gözde Arıtıcı Çolak; Duygu Sağlam,,,strong_doi_crossref,10.31067/acusaglik.847119,ok,10.31067/acusaglik.847119,"LaparoskopikSleeve Gastrektomi Operasyonunun Kısa Dönemde Besin Alımı, Biyokimyasal Kan Parametreleri ve Antropometrik Ölçümlere Etkisinin Değerlendirilmesi",2021,Acıbadem Üniversitesi Sağlık Bilimleri Dergisi,960,1309-470X,1309-5994,PAPER,,"Çolak GA, Sağlam D. Laparoskopik sleeve gastrektomi operasyonunun kısa dönemde besin alımı, biyokimyasal kan parametreleri ve antropometrik ölçümlere etkisinin değerlendirilmesi. Acıbadem Üniversitesi Sağlık Bilimleri Derg. 2021; 12(2): 291-5."
160,1250882,20119064,18,148502,2013,1445,Selçuk AVDEREN; Recep ÇİÇEK,,,strong_trdizin_id,,no_doi,,Sağlıkturizmi açısından İç Anadolu Bölgesi'ndeki kaplıca ve termal tesislerin mevcut yapısının ve potansiyelinin belirlenmesine yönelik bir araştırma,2013,Karamanoğlu Mehmetbey Üniversitesi Sosyal ve Ekonomik Araştırmalar Dergisi,1445,1309-9132,2147-7833,PAPER,,"Çiçek, R. ve Avderen, S. (2013). Sağlık Turizmi Açısından İç Anadolu Bölgesi’ndeki Kaplıca ve Termal Tesislerin Mevcut Yapısının ve Potansiyelinin Belirlenmesine Yönelik Bir Araştırma, Karamanoğlu Mehmetbey Üniversitesi Sosyal ve Ekonomik Araştırmalar Dergisi, (2): 25-35."
197,1198158,17880329,16,97601,2009,577,Emrah İsmail ÇEVİK; Turhan KORKMAZ,,,strong_trdizin_id,,no_doi,,Zımnivolatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi,2009,BDDK Bankacılık ve Finansal Piyasalar Dergisi,577,,1307-945X,PAPER,,"Korkmaz, T., & Çevik, E. İ. (2009). Zımni volatilite endeksinden gelişmekte olan piyasalara yönelik volatilite yayılma etkisi. BDDK Bankacılık ve Finansal Piyasalar Dergisi, 3(2), 87-105."
345,1275240,21181337,53,50482,2005,779,Çetin DOĞAN; Murat KARAGÖZ,,,strong_trdizin_id,,no_doi,,DövizKuru Dış Ticaret İlişkisi: Türkiye Örneği,2005,Fırat Üniversitesi Sosyal Bilimler Dergisi,779,1300-9702,2149-3243,PAPER,,"Karagöz, M., & Doğan, Ç. (2005). Döviz kuru ve dış ticaret ilişkisi: Türkiye örneği. Fırat Üniversitesi Sosyal Bilimler Dergisi, 15(2), 219-228."
417,1168990,16838142,25,391189,2018,1547,Birnur YEŞİLDAĞ; Zehra GÖLBAŞI,,,strong_trdizin_id,,no_doi,,DoğumAğrısının Yönetiminde Nonfarmakolojik Yöntemlerin Etkinliğini Değerlendiren Lisansüstü Tez Çalışmalarının İncelenmesi,2018,Düzce Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi,1547,2146-443X,,PAPER,,"Yeşildağ, B., Gölbaşı, Z. (2018). Doğum ağrısının yönetiminde nonfarmakolojik yöntemlerin etkinliğini değerlendiren lisansüstü  tez çalışmalarının incelenmesi. Düzce Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi, 8(3), 104-111"
467,1310431,22776297,16,137748,2012,466,Tuba GÖKÇEK; Adnan BAKİ,,,strong_trdizin_id,,no_doi,,Karmayöntem araştırmalarına genel bir bakış,2012,Elektronik Sosyal Bilimler Dergisi (elektronik),466,,1304-0278,PAPER,,"Baki, A. & Gökçek, T. (2012). Karma yöntem araştırmalarına genel bir bakış. Elektronik Sosyal Bilimler Dergisi, 11(42): 1-21."
576,1184669,17099661,51,120095,2011,683,Hasan SINAR,,,strong_trdizin_id,,no_doi,,Türkceza Hukukunda dolaylı faillik,2011,Ceza Hukuku Dergisi,683,1307-0851,,PAPER,,"SINAR, Hasan, “Türk Ceza Hukukunda Dolaylı Faillik”, Ceza Hukuku Dergisi, 2011, C. 6, S. 15, ss. 59-86."
633,1214153,18883924,49,362891,2020,46,Serap TAŞKAYA,,,strong_trdizin_id,,no_doi,,TÜRKİYEDEKİ EĞİTİM VE ARAŞTIRMA HASTANELERİNİN VERİMLİLİĞİNİN PABON LASSO VE VERİ ZARFLAMA ANALİZLERİ İLE BELİRLENMESİ,2020,Hacettepe Sağlık İdaresi Dergisi,46,1302-9282,2148-9041,PAPER,,"Taşkaya, S. (2020). Determination of the level of efficiency of training and research hospital in Turkey with pabon lasso and data envelopment analysis. Hacettepe Sağlık İdaresi Dergisi, 23(1), 247-260."
670,1284386,21664998,3,115514,2010,574,Nurten KAYA; Aylin ÖZTÜRK; Esma UYGUR; Saliye AYIK; Ayşe CENGİZ,,,strong_trdizin_id,,no_doi,,Hemşirelikuygulamalarında araştırma sonuclarının kullanımında engeller,2010,İstanbul Üniversitesi Florence Nightingale Hemşirelik Yüksekokulu Dergisi,574,1304-4869,,PAPER,,"Ayık, S., Öztürk, A., Kaya, N., Uygur, E. & Cengiz, A. (2010). Hemşirelik uygulamalarında araştırma sonuçlarının kullanımında engeller. Florence Nightingale Journal of Nursing, 18(3), 144-155."
684,1171277,16498284,52,56404,2006,220,Mustafa YILDIZ; Hüseyin GÜN; Erdal ŞENER,,,strong_trdizin_id,,no_doi,,Effectof refrigerated storage on fillet lipid quality of rainbow trout (Oncorhynchus mykiss W.) fed a diet containing different levels of DL $\alpha$ -tocopherol acetate,2006,Turkish Journal of Veterinary and Animal Sciences,220,1300-0128,1303-6181,PAPER,,"Yıldız M, Şener E, Gün H. 2006. Effect of refrigerated storage on fillet lipid quality of rainbow trout (Oncorhynchus mykiss W.) fed a diet containing different levels of DL α-tocophrol acetate. Turkish J Vet Anim Sci, 30: 143-150."
707,1224320,19337182,13,396286,2019,1121,Pınar ERTEN,,,strong_trdizin_id,,no_doi,,ZKuşağının Dijital Teknolojiye Yönelik Tutumları,2019,Gümüşhane Üniversitesi Sosyal Bilimler Dergisi,1121,,1309-7423,PAPER,,"Erten, P. (2019). Z kuşağının dijital teknolojiye yönelik tutumları. Gümüshane Üniversitesi Sosyal Bilimler Enstitüsü Elektronik Dergisi, 10(1), 190–202."
725,1374156,25582116,31,2562,2003,343,VESİLE RÜYA EHTİYAR,,,strong_trdizin_id,,no_doi,,KültürelSinerji: Uluslararası İşletmelere Yönelik Kavramsal Bir İrdeleme,2003,Akdeniz İİBF Dergisi,343,1302-9975,2667-7229,PAPER,,"Ehtiyar, R. (2003). Kültürel Sinerji: Uluslararası İşletmelere Yönelik Kavramsal Bir İrdeleme. Akdeniz Üniversitesi  İ.İ.B.F. Dergisi, 3(5), 66-78."
