sample_index,publication_id,reference_id,reference_order,source_doi,hidden_doi,parser,parsed_title,parsed_journal,parsed_year,parsed_authors,query_mode,query,trdizin_title_status,trdizin_id,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_doc_type,confidence,title_similarity,title_coverage,title_token_count,year_match,journal_similarity,author_coverage,self_match,context
44,1286621,21779113,9,,,apa,Türkiye’de buğday üretimi ve destekleme politikaları,3rd International Congress of the Turkish Journal of Agriculture - Food Science and Technology,2023,"Ken, E., & Semerci, A",title_full,Türkiyede buğday üretimi ve destekleme politikaları,no_match,37532,,no_doi,,Türkiyede buğday destekleme politikaları ve uygulamaları,2003,Gaziosmanpaşa Üniversitesi Ziraat Fakültesi Dergisi,416,PAPER,0.5892,0.7629,0.8,5,False,0.2362,0.0,False,"Ken, E., & Semerci, A. (2023). Türkiye’de buğday üretimi ve destekleme politikaları. 3rd International Congress of the Turkish Journal of Agriculture - Food Science and Technology, 13-16 September 2023, Malatya, 54-63."
45,1286621,21779119,15,,,apa,Türkiye’de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği,"Çukurova 8th International Scientific Researches Conference, April 15-17, Adana",2022,"Semerci, A., & Çelik, A.D",,,no_match,,,,,,,,,,,,,,,,,,"Semerci, A., & Çelik, A.D. (2022). Türkiye’de çeltik üretiminde mazot ve gübre desteği uygulaması: Çanakkale ili örneği. Çukurova 8th International Scientific Researches Conference, April 15-17, Adana, 822-831."
46,1331693,23886292,5,,,apa,Why did I ask that question? Bilingual/ESL pre-service teachers’ insights,International Journal of Instruction,2013,"Diaz, Z., Whitacre, M., Esquierdo, J",,,no_match,,,,,,,,,,,,,,,,,,"Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
53,1188828,17270319,52,,,apa,Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning,Creative City Design,2018,"Sarvari, H",,,no_match,,,,,,,,,,,,,,,,,,"Sarvari, H. (2018). Participatory Planning; Providing Conceptual Model of Factors Affecting Children’s Participation in Urban Planning. Creative City Design, 1(1), 37–42."
65,1253700,20240148,49,,,quoted,"Risultati di una survey condotta nella penisola di Kazıklı,",Iasos e la Caria,2005,"Lohmann, Hans",,,no_match,,,,,,,,,,,,,,,,,,"Lohmann, Hans. “Risultati di una survey condotta nella penisola di Kazıklı,” Iasos e la Caria. Nuovi studi e ricerche (La Parola del Passato, 60/2-6). Ed. Raffaella Pierobon Benoit. Napoli: Macchiaroli Editore, 2005, 332-356."
81,1209869,18378693,37,,,apa,Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama,Sosyal Ekonomik Araştırmalar Dergisi,2011,"Yapraklı, S",,,no_match,,,,,,,,,,,,,,,,,,"Yapraklı, S. (2011). Uluslararası rekabet gücünü etkileyen makroekonomik faktörler: Türk imalat sanayi üzerine bir uygulama. Sosyal Ekonomik Araştırmalar Dergisi, 11(22), 373-401."
97,1332746,23940469,37,,,apa,Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion,"International Transaction Journal of Engineering, Management & Applied Sciences & Technologies",2020,"Mohammad, N., Bibi, Z., Karim, J., & Durrani, D",,,no_match,,,,,,,,,,,,,,,,,,"Mohammad, N., Bibi, Z., Karim, J., & Durrani, D. (2020). Green Human Resource Management Practices and Organizational Citizenship Behavior in the Environment: The Interactive Effects of Green Passion. International Transaction Journal of Engineering, Management & Applied Sciences & Technologies, 11(6), 1-10."
103,1263119,20632708,10,,,vancouver,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry,JACC Cardiovasc Interv,2015,"Nazif TM, Dizon JM, Hahn RT",,,no_match,,,,,,,,,,,,,,,,,,"10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
125,1258017,20526969,2,10.5923/j.ijit.20160501.05,10.5923/j.ijit.20160501.05,apa,The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges,International Journal of Internet of Things,2016,"Alblehai, F",,,no_match,,,,,,,,,,,,,,,,,,"Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40. http://doi.org/ 10.5923/j.ijit.20160501.05"
127,1258017,20526986,19,,,apa,Web 2.0 tools for 21st century teachers,International Online Journal of Educational Sciences,2012,"Elmas, R., ve Geban, Ö",title_salient,Web tools 21st century teachers,no_match,1167476,10.29000/rumelide.1286022,not_checked,,77The Role of Technology Acceptance Model (TAM) in Developing Turkish Pre-Service EFL Teachers’ Technology Adoption,2023,RumeliDE Dil ve Edebiyat Araştırmaları Dergisi,893,PAPER,0.2267,0.3046,0.2,5,False,0.3469,0.0,False,"Elmas, R., ve Geban, Ö. (2012). Web 2.0 tools for 21st century teachers. International Online Journal of Educational Sciences, 4(1), 243-254. https://www.ajindex.com/dosyalar/makale/acarindex-1423904346.pdf"
131,1241363,19728078,9,,,apa,Fütüvvet Kavramının/Kurumunun Askerî ve Siyasî Mahiyeti,Ahilik Uluslararası Sempozyumu,2011,"Demirtaş, F",,,no_match,,,,,,,,,,,,,,,,,,"Demirtaş, F. (2011). Fütüvvet Kavramının/Kurumunun Askerî ve Siyasî Mahiyeti. Ahilik Uluslararası Sempozyumu, 403-423."
148,1176987,16735765,31,,,vancouver,Approach to the Woman in Labor: Oral nutrition,J Nurs Sci,2012,"Ergöl S, Eroglu K, Taskın L",,,no_match,,,,,,,,,,,,,,,,,,"31. Ergöl S, Eroglu K, Taskın L. Approach to the Woman in Labor: Oral nutrition. J Nurs Sci. 2012; 4(1): 23-9. 32. Rathfish G. Labor. In: Beji NK, editor. Woman’s Health and Diseases. 1st ed. İstanbul: Nobel Medicine Bookstore; 2015: 312-4."
262,1216803,19013447,38,,,quoted,XVIII. Yüzyıl Sonları Rus ve Avusturya Savaşları Esnasında Osmanlı Devleti,nde Bir Uyguluma: İstanbul’da İçki ve Fuhuş Yasağı,2007,"KÖSE, Osman",,,no_match,,,,,,,,,,,,,,,,,,"KÖSE, Osman, “XVIII. Yüzyıl Sonları Rus ve Avusturya Savaşları Esnasında Osmanlı Devleti’nde Bir Uyguluma: İstanbul’da İçki ve Fuhuş Yasağı”, Turkish Studies, 2/1, Kış 2007, s. 104-123."
270,1326191,23640898,70,,,apa,"Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye)",Biharean Biologist,2023,"Tel, A",,,no_match,,,,,,,,,,,,,,,,,,"Tel, A. Z., Ortaç, İ., Özuslu, E., & İlçim, A. (2023). Contributions of floristic and general vegetation characteristics of the Mavga Castle (Mut/Mersin, Türkiye). Biharean Biologist, 18(1): 1 – 11."
306,1348061,24529876,37,,,apa,On local polynomial regression estimators in finite populations. Int. J. Stats. Appl,Math,2020,"Kikechi, C",,,no_match,,,,,,,,,,,,,,,,,,"[37] Kikechi, C. B. (2020). On local polynomial regression estimators in finite populations. Int. J. Stats. Appl. Math, 5, 58-63."
335,1238800,19626547,2,,,vancouver,İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods],Selçuk Üniversitesi Fen Fakültesi Fen Derg,2017,"Çimen B, Erdoğan M, Oğul R",,,no_match,,,,,,,,,,,,,,,,,,"2. Çimen B, Erdoğan M, Oğul R. İyonlaştırıcı radyasyon ve korunma yöntemleri [Ionizing radiation and protection methods]. Selçuk Üniversitesi Fen Fakültesi Fen Derg. 2017;43(2):139-47. [Link]"
355,1315322,23103410,32,,,apa,The impact of innovation and smart government on happiness: Proposing conceptual framework,International Journal of Management and Human Scienc,2018,"Shamsi, R",,,no_match,,,,,,,,,,,,,,,,,,"Shamsi, R. S. H. A., Ameen, A. A., Isaac, O., Al-Shibami, A. H., & Khalifa, G. S. (2018). The impact of innovation and smart government on happiness: Proposing conceptual framework. International Journal of Management and Human Scienc, 2(2), 10-26."
394,1310137,22764796,17,,,apa,The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage,Journal of Crops Improvement,2023,"Heidari, F., Jalilian, J., & Gholinezhad, E",,,no_match,,,,,,,,,,,,,,,,,,"Heidari, F., Jalilian, J., & Gholinezhad, E. (2023). The effect of salinity stress and foliar application of nano-fertilizers on quantitative and qualitative characteristics of quinoa forage. Journal of Crops Improvement, 25(3), 769-785."
420,1278349,21317526,48,,,vancouver,[Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease],Nan Fang Yi Ke Da Xue Xue Bao,2009,"Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L",,,no_match,,,,,,,,,,,,,,,,,,"47. Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L. [Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease]. Nan Fang Yi Ke Da Xue Xue Bao. 2009;29(8):1735-40. [PubMed]"
449,1223777,19325030,49,,,apa,African leafy vegetables pre-harvest and post-harvest constrains and technologies for losses reduction along the field to consumer chain,African Journal of Horticultural Science,2017,"Kirigia, D., Kasili, R",,,no_match,,,,,,,,,,,,,,,,,,"Kirigia, D., Kasili, R. and Mibus, H. (2017). African leafy vegetables pre-harvest and post-harvest constrains and technologies for losses reduction along the field to consumer chain. African Journal of Horticultural Science, 12: 51-60."
481,1264523,20689052,83,,,vancouver,Anne psikopatolojisi ve aile işlevselliğinin ergenlerin intihar niyeti ve davranışı üzerine etkisi [in Turkish],Çocuk Sağlığı Hastalıkları Derg,2018,"Dinç GŞ, Şahin M, Bilgili D",,,no_match,,,,,,,,,,,,,,,,,,"83. Dinç GŞ, Şahin M, Bilgili D, et al. Anne psikopatolojisi ve aile işlevselliğinin ergenlerin intihar niyeti ve davranışı üzerine etkisi [in Turkish]. Çocuk Sağlığı Hastalıkları Derg. 2018;61(1):11-18."
488,1160131,17148146,29,,,apa,İbrahim. İslam Ansiklopedisi. Türkiye Diyanet Vakfı Yayınları,21,2000,"Harman, Ömer Faruk",,,no_match,,,,,,,,,,,,,,,,,,"Harman, Ömer Faruk. (2000). İbrahim. İslam Ansiklopedisi. Türkiye Diyanet Vakfı Yayınları. 21, 266-272."
498,1230858,20182070,17,,,apa,Ön lisans muhasebe öğrencilerinin kariyer planlamasini etkileyen unsurlar: Ege bölgesinde bir araştırma,Muhasebe Bilim Dünyası Dergisi,2010,"Özdemir, S",,,no_match,,,,,,,,,,,,,,,,,,"Özdemir, S. (2010). Ön lisans muhasebe öğrencilerinin kariyer planlamasini etkileyen unsurlar: Ege bölgesinde bir araştırma. Muhasebe Bilim Dünyası Dergisi, 12(2), 103–121."
503,1379129,25736692,42,,,apa,Roman Meals and Cooking Ware in Lycia: An Experiment Partice in Archaelogy,Akdeniz Sanat Dergisi,2008,"Korkut, T",,,no_match,,,,,,,,,,,,,,,,,,"Korkut, T. & Ercan, B. (2008). Roman Meals and Cooking Ware in Lycia: An Experiment Partice in Archaelogy. Akdeniz Sanat Dergisi, 95-105."
553,1163053,16155944,24,,,vancouver,"Antibacterial activities of fruticose lichens collected from selected sites in Luzon Island, Philippines",Philipp Sci Lett,2010,"Santiago KKA, Borricano JNC, Canal JN, Marcelo DMA, Perez MCP, Dela Cruz TEE",,,no_match,,,,,,,,,,,,,,,,,,"Santiago KKA, Borricano JNC, Canal JN, Marcelo DMA, Perez MCP, Dela Cruz TEE. Antibacterial activities of fruticose lichens collected from selected sites in Luzon Island, Philippines. Philipp Sci Lett 2010; 3: 18-29."
569,1374706,25605348,21,10.9790/0837-2110060106,10.9790/0837-2110060106,volume_pages,History of Turkish cuisine culture and the ınfluence of the Balkans,IOSR Journal of Humanities And Social Science (IOSR-JHSS,2016,"Diker, O., Deniz, T., Çetinkaya, A",title_full,History of Turkish cuisine culture and the ınfluence of the Balkans,no_match,1255510,10.7827/turkishstudies.74580,not_checked,,İstanbulun Çatalca İlçesi Özelinde Balkan Kültürünün İzleri,2024,Turkish Studies - Language and Literature,2415,PAPER,0.2334,0.3455,0.1429,6,False,0.3191,0.0,False,"Diker, O., Deniz, T., Çetinkaya, A. (2016, October). History of Turkish cuisine culture and the ınfluence of the Balkans. IOSR Journal of Humanities And Social Science (IOSR-JHSS), 21(10), 1-6. https://doi.org/10.9790/0837-2110060106"
598,1357591,24914429,22,,,apa,Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi,Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,2004,"Kayalıdere, K",,,no_match,,,,,,,,,,,,,,,,,,"Kayalıdere, K. & Kargın, S. (2004). Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi. Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 6(1), 196-219."
623,1278168,21436106,29,,,apa,The effect of sustainability reporting on financial performance: An empirical study using listed companies,Journal of Asia Entrepreneurship and Sustainability,2010,"Reddy, K & Gordon, L.W",,,no_match,,,,,,,,,,,,,,,,,,"[30]Reddy, K & Gordon, L.W. (2010). The effect of sustainability reporting on financial performance: An empirical study using listed companies. Journal of Asia Entrepreneurship and Sustainability, 6(2), 19-42."
627,1232718,19396517,26,,,apa,Dijital Pazarlama Süreçlerine Kurum Çalışanlarının Katılımı: Trendyol Tech Podcast Serisi Üzerine Bir Değerlendirme,Uluslararası Halkla İlişkiler ve Reklam Çalışmaları Dergisi,2023,"Ergül, E",,,no_match,,,,,,,,,,,,,,,,,,"Ergül, E. (2023). Dijital Pazarlama Süreçlerine Kurum Çalışanlarının Katılımı: Trendyol Tech Podcast Serisi Üzerine Bir Değerlendirme. Uluslararası Halkla İlişkiler ve Reklam Çalışmaları Dergisi, 6(2), 75-98."
628,1232718,19396528,37,,,apa,Private talk in the public sphere: Podcasting as broadcast talk,"Communication, Politics & Culture",2009,"Jarret, K",,,no_match,,,,,,,,,,,,,,,,,,"Jarret, K. (2009). Private talk in the public sphere: Podcasting as broadcast talk. Communication, Politics & Culture, 42(2), 116-135."
641,1182531,17001915,69,,,apa,Duygusal zeka ve eğitim açısından doğurguları,Kuram ve Uygulamada Eğitim Yönetimi,2011,"Yeşilyaprak, B",,,no_match,,,,,,,,,,,,,,,,,,"Yeşilyaprak, B. (2011). Duygusal zeka ve eğitim açısından doğurguları. Kuram ve Uygulamada Eğitim Yönetimi, 25(25), 139-146. https://dergipark.org.tr/en/download/article-file/108511"
665,1226160,19038052,33,,,apa,Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece,European Water,2013,"Paleologos, E., & Mertikas, S",,,no_match,,,,,,,,,,,,,,,,,,"Paleologos, E., & Mertikas, S. (2013). Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece. European Water, 43, 3–11."
