sample_index,publication_id,reference_id,reference_order,doi_candidates,hidden_doi_status,hidden_doi,crossref_http_status,context
125,1258017,20526969,2,10.5923/j.ijit.20160501.05,not_found,10.5923/j.ijit.20160501.05,404,"Alblehai, F. (2016). The utilization of Web 2.0 tools in Saudi Higher Education: Opportunities and challenges. International Journal of Internet of Things, 5(1), 37-40. http://doi.org/ 10.5923/j.ijit.20160501.05"
268,1326191,23640866,38,10.2305/iucn.uk.2018-,not_found,10.2305/iucn.uk.2018-,404,"Güner A., Özhatay N., Ekim T. & Başer K. H. C. (2000). Flora of Turkey and the east Aegean islands Vol. 11. Edinburgh Univ. Press, Edinburgh.Juan Vicedo, J. (2018). Pancratium maritimum. The IUCN Red List of Threatened Species 2018: e.T18990540A57467022. http://dx.doi.org/10.2305/IUCN.UK.2018-"
569,1374706,25605348,21,10.9790/0837-2110060106,not_found,10.9790/0837-2110060106,404,"Diker, O., Deniz, T., Çetinkaya, A. (2016, October). History of Turkish cuisine culture and the ınfluence of the Balkans. IOSR Journal of Humanities And Social Science (IOSR-JHSS), 21(10), 1-6. https://doi.org/10.9790/0837-2110060106"
2530,1333057,24222718,23,10.14359/51684395,not_found,10.14359/51684395,404,"Ghafoori, N., & Diaz-Loya, I. (2012). Shrinkage Cracking and Durability Characteristics of Alkali-Activated Slag Concrete. Materials Journal, 109(2), 209-217. https://doi.org/10.14359/51684395."
3673,1388707,26059191,22,10.1080/00218839.2020.1728294,not_found,10.1080/00218839.2020.1728294,404,"Yücel, B., & Sorkun, K. (2020). Determination of antimicrobial activity and some physicochemical parameters of sunflower honeys from Turkey. Journal of Apicultural Research, 59(3), 410–419. https://doi.org/10.1080/00218839.2020.1728294"
3695,1328696,23752717,3,10.31838/jcr.07.17.141,not_found,10.31838/jcr.07.17.141,404,"Ardan M, Rahman F.F. & Geroda, G.B. (2020). Theinfluence of physicaldistancetostudentanxiety on Covid-19, Indonesia. J CritRev. 7(17), 1126–32. DOI: 10.31838/jcr.07.17.141."
3750,1285408,21723305,27,10.5829/idosi.wasj.2012.19.05.1114,not_found,10.5829/idosi.wasj.2012.19.05.1114,404,"Ismail, R. ve Jajri, I. (2012). Gender wage differentials and discrimination in Malaysian labour market. World Applied Sciences Journal, 19 (5), 719-728. DOI: 10.5829/idosi.wasj.2012.19.05.1114"
4233,1296974,22222587,16,10.21162/pakjas/24.155,not_found,10.21162/pakjas/24.155,404,"Iftikhar, Y., Mubeen, M., Shakeel, Q., Lalarukh, I., Ali, A., Aasim, M., & Al-Shuraym, L. A. (2024). Spatial distribution and molecular characterization of Huanglongbing and its vector in various citrus cultivars. Pakistan Journal of Agricultural Sciences, 61(2), 685-694. https://doi.org/10.21162/PAKJAS/24.155"
5482,1336017,24062410,4,10.2900/63495,not_found,10.2900/63495,404,Antimicrobial resistance surveillance in Europe 2023 - 2021 data. Stockholm: European Centre for Disease Prevention and Control and World Health Organization; 2023. https://doi.org/10.2900/63495 (Erişim Tarihi: Mart 2024)
8161,1265310,20719895,37,10.1007/s11207-021-01845-2,not_found,10.1007/s11207-021-01845-2,404,"Liu, J., Niu, M., & Xu, Z. (2021). AI-generated magnetograms of the Sun: Assessing the capabilities of AI in space research. Solar Physics, 296(6), 83. https://doi.org/10.1007/s11207-021-01845-2"
9918,1331081,23856070,29,10.1002/pc.32800,not_found,10.1002/pc.32800,404,"Rath SK, Prusty RK (2021) Review on thermal stability and fire-retardant properties of natural fiber-reinforced polymer composites. Polymer Composites 42(4):1547-1572. https://doi.org/10.1002/pc.32800"
