sample_index,publication_id,reference_id,reference_order,pubmed_status,pmid,pubmed_doi,pubmed_title,pubmed_journal,pubmed_year,title_coverage,title_similarity,year_match,bdata,context
103,1263119,20632708,10,possible,25616819,10.1016/j.jcin.2014.07.022,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry.,JACC. Cardiovascular interventions,2015,1.0,1.0,False,JACC Cardiovasc Interv|2015|8|60|TM||,"10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
420,1278349,21317526,48,possible,19726326,,[Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNA expression in the brain of mouse models of Parkinson disease].,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,2009,1.0,1.0,False,Nan Fang Yi Ke Da Xue Xue Bao|2009|29|1735|J||,"47. Zhang J, Sun HM, Bai LM, Xu H, Wu HX, Cui L. [Effect of Ginkgo biloba Pingchan Recipe on neuronal nitric oxide synthase mRNa expression in the brain of mouse models of Parkinson disease]. Nan Fang Yi Ke Da Xue Xue Bao. 2009;29(8):1735-40. [PubMed]"
1658,1246572,20297786,13,possible,33550351,10.19723/j.issn.1671-167x.2021.01.024,[Hypoxia and inflammation are risk factors for acute myocardial injury in patients with coronavirus disease 2019].,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,2020,1.0,1.0,False,Beijing Da Xue Xue Bao Yi Xue Ban|2020|53|159|LC||,"13. Yang LC, Zhang RT, Guo LJ, Xiao H, Zu LY, Zhang YY, et al. Hypoxia and inflammation are risk factors for acute myocardial injury in patients with coronavirus disease 2019. Beijing Da Xue Xue Bao Yi Xue Ban. 2020;53(1):159-66. Chinese."
1848,1331202,23862737,18,possible,23638278,,Statistics corner: A guide to appropriate use of correlation coefficient in medical research.,Malawi medical journal : the journal of Medical Association of Malawi,2012,1.0,1.0,False,Malawi Med J|2012|24|69|MM||,18. Mukaka MM. Statistics corner: A guide to appropriate use of correlation coefficient in medical research. Malawi Med J. 2012;24(3):69-71.
2350,1276318,21227674,12,possible,24575290,,Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz.,Iranian journal of pediatric hematology and oncology,2013,1.0,1.0,False,Iran J Ped Hematol Oncol|2013|3|159|R||,"12. Robati R, Farokhi M. Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz. Iran J Ped Hematol Oncol 2013; 3(4):159–63."
2738,1235150,19495118,17,possible,33928619,10.26355/eurrev_202104_25743,A multicenter clinical study with myo-inositol and alpha-lactalbumin in Mexican and Italian PCOS patients.,European review for medical and pharmacological sciences,2021,1.0,1.0,False,Eur Rev Med Pharmacol Sci|2021|25|3316|MI||,"17. Hernandez MI, Picconi O, Laganà AS, Costabile L, Unfer V. A multicenter clinical study with myo-inositol and alpha-lactalbumin in Mexican and Italian PCOS patients. Eur Rev Med Pharmacol Sci. 2021;25(8):3316-24."
2840,1359754,25273541,15,possible,25734050,,Effects of platelet-rich plasma on cartilage grafts in rabbits as an animal model.,World journal of plastic surgery,2012,1.0,1.0,False,World J Plast Surg|2012|1|91|A||,"15. Manafi A, Kaviani Far K, Moradi M, Manafi A, Manafi F. Effects of platelet-rich plasma on cartilage grafts in rabbits as an animal model. World J Plast Surg. 2012;1(2):91-8."
2909,1284975,21711825,15,possible,835091,,Mesenteric panniculitis: review of the leterature and presentation of cases.,Surgery,1977,1.0,1.0,False,Surgery|1977|81|203|AL||,"15. Durst AL, Freund H, Rosenmann E, Birnbaum D. Mesenteric panniculitis: review of the leterature and presentation of cases. Surgery. 1977;81(2):203-11."
5875,1372632,25527201,36,possible,2295065,,Role of transforming growth factor beta 1 in induction of colon carcinoma differentiation by hexamethylene bisacetamide.,Cancer research,1990,0.9091,0.3821,False,Cancer Research|1990|50|261|Schroy||,"Schroy, P., Rifkin, J., Coffey, R. J., Winawer, S., & Friedman, E. (1990). Role of transforming growth factor β1 in induction of colon carcinoma differentiation by hexamethylene bisacetamide. Cancer Research, 50(2), 261-265. https://aacrjournals.org/cancerres/article/50/2/261/495798/Role-of-Transforming-Growth-Factor-1-in-Induction"
6245,1359250,25003340,17,possible,26816749,10.3978/j.issn.2223-4683.2014.01.06,Medical treatment of male infertility.,Translational andrology and urology,2014,1.0,1.0,False,Transl Androl Urol|2014|3|9|AA||,"Dabaja AA, Schlegel PN. Medical treatment of male infertility. Transl Androl Urol. 2014;3:9-16."
