sample_index,publication_id,reference_id,reference_order,exclusive_category,alignment_score,alignment_source,grobid_index,grobid_doi,grobid_title,grobid_journal,grobid_year,grobid_authors,grobid_volume,grobid_issue,grobid_pages,experiment19_status,resolver,matched_id,matched_doi,matched_title,matched_year,matched_venue,confidence,title_similarity,title_coverage,title_token_count,author_coverage,year_match,title_pair_similarity,title_pair_coverage,query,context
103,1263119,20632708,10,journal_like_left,1.0,match_report,10,,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry,JACC Cardiovasc Interv,2015,T M Nazif; J M Dizon; R T Hahn,8,1,60-69,possible,grobid_crossref_bibliographic,,10.1016/j.jcin.2014.09.010,Permanent Pacemaker Implantation Following Transcatheter Aortic Valve Replacement,2015,Elsevier BV,0.6209,0.1983,0.875,8,0.0,True,0.5489,0.875,Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry nazif 2015 JACC Cardiovasc Interv,"10. Nazif TM, Dizon JM, Hahn RT, et al. Predictors and clinical outcomes of permanent pacemaker implantation after transcatheter aortic valve replacement: the PARTNER (Placement of AoRtic TraNscathetER Valves) trial and registry. JACC Cardiovasc Interv 2015;8(1 Pt A):60-9."
628,1232718,19396528,37,journal_like_left,1.0,match_report,37,,Private talk in the public sphere: Podcasting as broadcast talk,Politics & Culture,2009,K Jarret,42,2,116-135,possible,grobid_crossref_bibliographic,,10.4135/9781446269060.n3,Broadcast Talk,2009,SAGE Publications Ltd,0.85,1.0,1.0,2,0.0,True,1.0,1.0,Private talk in the public sphere: Podcasting as broadcast talk jarret 2009 Politics & Culture,"Jarret, K. (2009). Private talk in the public sphere: Podcasting as broadcast talk. Communication, Politics & Culture, 42(2), 116-135."
1131,1207454,18228948,23,other,1.0,raw_similarity,16,,"Finansman Giderlerinin Türkiye Muhasebe Standardı 23 ve Vergi Usul Kanunu Çerçevesinde İncelenmesi, Karşılaştırılması ve Muhasebe Uygulamaları, Mali Çözüm Dergisi",,2022,A Özulucan,32,,13-43,possible,grobid_trdizin_title_search,1121580,,"FİNANSMANGİDERLERİNİN TÜRKİYE MUHASEBE STANDARDI 23 VE VERGİ USUL KANUNU ÇERÇEVESİNDE İNCELENMESİ, KARŞILAŞTIRILMASI VE MUHASEBE UYGULAMALARI",2022,Mali Çözüm,0.849,0.9403,1.0,15,0.0,True,0.9333,0.9167,Finansman Giderlerinin Türkiye Muhasebe Standardı 23 ve Vergi Usul Kanunu Çerçevesinde İncelenmesi Karşılaştırılması ve Muhasebe Uygulamaları Mali Çözüm Dergisi,Türkiye Muhasebe Standardı 23
1331,1245175,19876225,18,other,1.0,match_report,26,,The Geographical Part of the Nuzhat-al-Qulub Composed by Hamd-Allāh Mustawfī of Qazwin,,1919,Ḥamd Allāh; Mustaufī,740,,,possible,grobid_crossref_bibliographic,,10.2307/1779716,Nuzhat-al-Qulub,1919,JSTOR,1.0,1.0,1.0,2,1.0,True,1.0,1.0,The Geographical Part of the Nuzhat-al-Qulub Composed by Hamd-Allāh Mustawfī of Qazwin allah 1919,"Ḥamd Allāh Mustaufī. The Geographical Part of the Nuzhat-al-Qulub Composed by Hamd-Allāh Mustawfī of Qazwin in 740 (1340). Trans. G. Le Strange, (GMS 23), Leyden-London: 1919."
1658,1246572,20297786,13,journal_like_left,1.0,match_report,13,,Hypoxia and inflammation are risk factors for acute myocardial injury in patients with coronavirus disease 2019. Beijing Da Xue Xue Bao Yi Xue Ban,,2020,L C Yang; R T Zhang; L J Guo; H Xiao; L Y Zu; Y Y Zhang,53,,159-166,possible,grobid_crossref_bibliographic,,10.21203/rs.3.rs-111264/v1,Risk Factors for Acute Kidney Injury in Patients with Coronavirus Disease 2019 (COVID-19): A Meta-Analysis,2020,Research Square Platform LLC,0.6415,0.4573,0.7273,11,0.3333,True,0.6694,0.7273,Hypoxia and inflammation are risk factors for acute myocardial injury in patients with coronavirus disease 2019. Beijing Da Xue Xue Bao Yi Xue Ban yang 2020,"13. Yang LC, Zhang RT, Guo LJ, Xiao H, Zu LY, Zhang YY, et al. Hypoxia and inflammation are risk factors for acute myocardial injury in patients with coronavirus disease 2019. Beijing Da Xue Xue Bao Yi Xue Ban. 2020;53(1):159-66. Chinese."
2350,1276318,21227674,12,journal_like_left,0.9968,match_report,12,,Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz,Iran J Ped Hematol Oncol,2013,R Robati; M Farokhi,3,4,159-163,possible,grobid_crossref_bibliographic,,10.1016/j.mpmed.2013.01.014,Inherited bleeding disorders,2013,Elsevier BV,0.85,1.0,1.0,3,0.0,True,1.0,1.0,Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz robati 2013 Iran J Ped Hematol Oncol,"12. Robati R, Farokhi M. Evaluation the dentists' awareness of inherited bleeding disorders and anticoagulants in Shiraz. Iran J Ped Hematol Oncol 2013; 3(4):159–63."
3063,1283885,22189884,41,other,1.0,raw_similarity,39,,Etymological Dictionary of the Altaic Languages,,2003,S A Starostin; A V Dybo; O A Mudrak,,,,possible,grobid_crossref_bibliographic,,10.1093/obo/9780199772810-0177,Altaic Languages,2014,"Oxford University PressNew York, NY",0.9,1.0,1.0,2,1.0,False,1.0,1.0,Etymological Dictionary of the Altaic Languages starostin 2003,"Starostin, S. A., Dybo, A. V. ve Mudrak, O. A. (2003). Etymological Dictionary of the Altaic Languages. Leiden-Boston: Brill. (EDAL)"
3800,1198293,17788657,26,journal_like_left,1.0,match_report,27,,Design and development e-learning system by learning management system (lms) in vocational education,Online Submission,2020,R Rabiman; M Nurtanto; N Kholifah,9,1,1059-1063,possible,grobid_crossref_bibliographic,,10.46328/ijte.36,Learning Management System (LMS) Use with Online Instruction,2020,ISTES Organization,0.5732,0.4017,0.7143,7,0.0,True,0.5,0.6,Design and development e-learning system by learning management system (lms) in vocational education rabiman 2020 Online Submission,"Rabiman, R., M. Nurtanto, and N. Kholifah. (2020). Design and development e-learning system by learning management system (lms) in vocational education. Online Submission, 9 (1): 1059-1063."
4689,1305254,22581041,8,journal_like_left,1.0,match_report,7,,"The relationship between job satisfaction, job performance and employee engagement: an explorative study",Issue Busin Manage Econom,2015,A S Bin; A Shmailan,4,1,1-8,possible,grobid_crossref_bibliographic,,10.18374/ijsm-15-1.4,"THE RELATIONSHIP BETWEEN CHARACTERISTICS OF GENERATION Y, JOB ENGAGEMENT, JOB SATISFACTION AND JOB PERFORMANCE",2015,International Academy of Business and Economics,0.6248,0.4238,0.8,10,0.0,True,0.5429,0.8,"The relationship between job satisfaction, job performance and employee engagement: an explorative study bin 2015 Issue Busin Manage Econom","8. Bin AS, Shmailan A. The relationship between job satisfaction, job performance and employee engagement: an explorative study. Issue Busin Manage Econom, 2015;4(1):1-8."
4959,1276089,21217105,1,other,0.9956,match_report,1,,International Classification of Sleep Disorders. 3,,2014,I L Darien,,,,possible,grobid_crossref_bibliographic,,10.1016/j.jsmc.2013.10.006,International Classification of Sleep Disorders 2 and American Academy of Sleep Medicine Practice Parameters for Central Sleep Apnea,2014,Elsevier BV,0.6211,0.7016,0.6923,13,0.0,True,0.5304,1.0,International Classification of Sleep Disorders. 3 darien 2014,"1. Darien IL. International Classification of Sleep Disorders. 3rd ed. Darien, IL: American Academy of Sleep Medicine; 2014."
