sample_index,publication_id,reference_id,match_status,match_score,yok_tez_no,yok_title,yok_author,yok_year,yok_university,yok_url,raw_context
7,1368239,25368331,strong,0.828,464647,Türkiye' de 1923-1950 dönemi ulus devlet yapılanması ve gençlik politikaları,ESRA TANĞ,2017,BALIKESİR ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=EAXNOqS2c8nWlesJ1edf4Q,"Tanğ, E. (2017). Türkiye’de 1923–1950 dönemi ulus devlet yapılanması ve gençlik politikaları [Nation-state formation and youth policies in Turkey during 1923–1950] (Unpublished master’s thesis). Balıkesir Üniversitesi, Sosyal Bilimler Enstitüsü, Sosyoloji ABD, Balıkesir."
77,1287910,22427162,no_match,0.0,,,,,,,"Twomey, C. (2018). Ceramics Collections-Exploring Object Engagement Beyond The Known Historic Models of Clay Practice. Westminster Üniversitesi Doktora Tezi"
166,1195235,17617663,strong,1.0,627934,"Evaluation of an English preparatory program through the context, input, process, and product (CIPP) model",ESAT KUZU,2020,ÇUKUROVA ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=bY0x0HA9svbFDImACz7bTA,"Kuzu, E. (2020). Evaluation of an English preparatory program through the context, input, process, and product (CIPP) model [Unpublished master’s thesis]. Cukurova University."
169,1336550,24083190,strong,1.0,249753,"Yatılı ilköğretim bölge okullarındaki yöneticilerin, öğretmenlerin ve diğer çalışanların sinerjik yönetime ilişkin görüşleri",YAKUP GÜRLEK,2010,GAZİOSMANPAŞA ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=2yp_OfcZUE2-pnVWt7_3Ow,"Gürlek, Y. (2010). Yatılı ilköğretim bölge okullarındaki yöneticilerin, öğretmenlerin ve diğer çalışanların sinerjik yönetime ilişkin görüşleri (Yüksek Lisans Tezi). Gaziosmanpaşa Üniversitesi, Eskişehir."
188,1228598,19469154,no_match,0.0,,,,,,,"[38] M. A. Sayeed, “Fish biodiversity in the Chalan Beel a natural depression in North West Bangladesh,” PhD Thesis, Department of Fisheries Biology and Genet- ics, Bangladesh Agricultural University, Mymens- ingh, Article 64, 2010."
225,1268679,20858211,strong,1.0,288146,"İlköğretim okullarındaki öğretmenlerin okul kültürü algıları ile örgütsel sinizm tutumları arasındaki ilişki (İstanbul ili, Esenyurt ilçesi örneği)",ERSİN ŞİRİN,2011,YEDİTEPE ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=LfYCvAJoIpwH97gj3JqoLw,"Şirin, E. (2011). İlköğretim okullarındaki öğretmenlerin okul kültürü algıları ile örgütsel sinizm tutumları arasındaki ilişki. (Tez No. 288146) [Yüksek lisans tezi, Yeditepe Üniversitesi]. Yükseköğretim Kurulu Ulusal Tez Merkezi."
280,1343486,24352156,no_match,0.0,,,,,,,"39. V. Torczon, Multi-directional Search: A Direct Search Algorithm for Parallel Machines, Ph.D. dissertation. Houston, TX, USA: Rice University, 1989."
319,1377979,25703541,strong,0.928,524063,Değerler eğitimi bağlamında mahremiyet eğitimi,HÜSEYİN EMRE DURAN,2018,ONDOKUZ MAYIS ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=aMBvOLljQRDfQ41upNRBkw,"Duran, Hüseyin Emre. Değerler Eğitimi Bağlamında Mahremiyet Eğitimi. Samsun: Samsun Ondokuz Mayıs Üniversitesi, Sosyal Bilimler Enstitüsü, Yüksek Lisans Tezi, 2018."
352,1353628,24751090,strong,1.0,683532,"Ergenlerde siber zorbalığa maruz kalma düzeyleri açısından benlik saygısı, narsisizm ve empatik öfkenin siber zorbalığa maruz bırakma üzerindeki etkisi",ZEYNEP ALİYE VATANSEVER,2021,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=N6TMdSJEkIKKKMQyYjY6gw,"Vatansever, Z. A. (2021). Ergenlerde siber zorbalığa maruz kalma düzeyleri açısından benlik saygısı, narsisizm ve empatik öfkenin siber zorbalığa maruz bırakma üzerindeki etkisi (Yayımlanmamış yüksek lisans tezi). Fatih Sultan Mehmet Vakıf Üniversitesi, İstanbul."
373,1269139,21000762,no_match,0.0,,,,,,,"Gencan, Y. (2015). Piyasa Gözetimi ve Denetiminde Düzeltici Faaliyet Uygulamaları. Uzmanlık Tezi. Bilim, Sanayi ve Teknoloji Bakanlığı."
379,1198238,17844890,strong,0.77,419235,Turistik ürün çeşidi olarak helal turizm konsepti uygulayan konaklama tesislerinde müşteri algıları,MUSA OFLAZ,2015,BALIKESİR ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=NtTfCUlQqC-oLdFU_5Ga9A,"Oflaz, M. (2015). Turistik Ürün Çeşidi Olarak Helal Turizm Konsepti Uygulayan Konaklama Tesislerinde Müşteri Algıları, Balıkesir Üniversitesi Sosyal Bilimler Enstitüsü Yayımlanmış Yüksek Lisans Tezi, Balıkesir. ss. 43-44."
399,1171850,16523665,strong,1.0,446331,"İlkokul matematik derslerinde şarkı kullanımının öğrencilerin başarı, tutum ve sözcük dağarcığı üzerindeki etkisi",NİLÜFER TAN,2016,ADNAN MENDERES ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=LAGlbMlqHdvFFQSTBL0RBQ,"Tan, N. (2016). İlkokul Matematik Derslerinde Şarkı Kullanımının Öğrencilerin Başarı, Tutum ve Sözcük Dağarcığı Üzerindeki Etkisi, (Yayımlanmamış Yüksek Lisans Tezi), Adnan Menderes Üniversitesi, Aydın."
468,1310431,22776347,strong,1.0,492301,"5. sınıf ""Canlılar dünyasını gezelim ve tanıyalım"" ünitesinin klasik eğitsel oyunlar ve teknoloji destekli eğitsel oyunlarla öğretiminin değerlendirilmesi",EVŞEN AYMEN PEKER,2018,ONDOKUZ MAYIS ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=IDdGWfn1xj3glqpeMN3h4g,"Peker Aymen, E. (2018). 5. sınıf ""Canlılar dünyasını gezelim ve tanıyalım"" ünitesinin klasik eğitsel oyunlar ve teknoloji destekli eğitsel oyunlarla öğretiminin değerlendirilmesi (Tez No: 492301). [Doktora Tezi, Ondokuz Mayıs Üniversitesi]."
505,1197883,17818310,no_match,0.0,,,,,,,"8. Liu, H., Effect of concrete strength on the response of ductile shear walls. (Doktora tezi). McGill University, Montréal, Canada, 2004."
529,1328069,23723659,no_match,0.0,,,,,,,"Ramos, Thiago Moutinho. Reinsurance contracts and back to back presumption: A comparative study between English and Norwegian law, LL. M. Thesis, Oslo: University of Oslo Faculty of Law, 2013."
551,1287699,21839772,strong,1.0,496217,Bor minerali atığı katkılı polipropilen  kompozit malzemelerin mekanik ve  tribolojik özelliklerinin incelenmesi,MURAT ÖZTÜRK,2018,SAKARYA ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=ocQSxyAcxx7eU_E5C3em2g,"Öztürk, M. (2018). Bor minerali atığı katkılı polipropilen kompozit malzemelerin mekanik ve tribolojik özelliklerinin incelenmesi (Yüksek lisans tezi). Sakarya Üniversitesi Fen Bilimleri Enstitüsü, Sakarya."
578,1201816,17955996,no_match,0.0,,,,,,,"Baki, N. (2018). Zekâ oyunları dersinde uygulanan geometrikmekanik oyunların öğrencilerin akademik öz yeterlik ve problem çözme becerilerine etkisi (Yayımlanmamış yüksek lisans tezi). Kırıkkale Üniversitesi, Kırıkkale."
579,1201816,17956013,no_match,0.0,,,,,,,"Demirel, T. (2015). Zekâ oyunlarının Türkçe ve matematik derslerinde kullanılmasının ortaokul öğrencileri üzerindeki bilişsel ve duyuşsal etkilerinin değerlendilirmesi (Yayımlanmamış doktora tezi). Atatürk Üniversitesi, Erzurum."
580,1201816,17956018,no_match,0.0,,,,,,,"Dokumacı Sütçü, N. (2017). Zekâ oyunlarının ortaokul 7. sınıf öğrencilerinin uzamsal yeteneklerine ve uzamsal yetenek özdeğerlendirmelerine etkisi (Yayımlanmamış doktora tezi). Dicle Üniversitesi, Diyarbakır."
581,1201816,17956054,no_match,0.0,,,,,,,"Yöndemli, E. N. (2018). Zekâ oyunlarının (strateji ve geometri) ortaokul düzeyindeki öğrencilerde matematiksel muhakeme yeteneğine ve matematik dersinde gösterilen çabaya etkisi (Yayımlanmamış yüksek lisans tezi). Kırıkkale Üniversitesi, Kırıkkale."
603,1331433,23875230,no_match,0.0,,,,,,,"Tankız, K. D. (2011). Müzik öğretmenliği programı özel yetenek sınavına başvuran adayların başarı durumlarının çeşitli değişkenlere göre incelenmesi [Yayımlanmamış yüksek lisans tezi]. İnönü Üniversitesi."
607,1250615,20182730,no_match,0.0,,,,,,,"Gagné, P. E. (2004). Generalized confirmatory factor mixture models: A tool for assessing factorial invariance across unspecified populations [Unpublished doctoral dissertation]. University of Maryland, College Park."
634,1283400,21613126,strong,1.0,421058,Sınır ve eşik olarak duvar,TUĞÇE ALKAYA,2015,İSTANBUL TEKNİK ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=BaqWjo72H7SfskRMJd3TDQ,"Alkaya, T. (2015). Sınır ve eşik olarak duvar [Master’s thesis]. Istanbul Technical University."
654,1267040,21102682,strong,1.0,520145,İlkokul düzeyindeki üstün yetenekli öğrencilere yönelik destek eğitim odasının yürütülmesinde karşılaşılan sorunlar ve sorunlara yönelik çözüm müdahaleleri,ERCAN ÖPENGİN,2018,ANADOLU ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=ky18BBkPUZZoj9HEYxmbFQ,"Öpengin, E. (2018). İlkokul düzeyindeki üstün yetenekli öğrencilere yönelik destek eğitim odasının yürütülmesinde karşılaşılan sorunlar ve sorunlara yönelik çözüm müdahaleleri (Tez No. 520145) [Doktora tezi, Anadolu Üniversitesi-Eskişehir]. Yükseköğretim Kurulu Ulusal Tez Merkezi."
690,1165219,16251961,strong,0.989,375360,Lise öğrencilerinde  depresyon düzeyi ve anne baba tutumu arasındaki ilişkisinin incelenmesi,SEVİNJ MUTALLİMOVA,2014,İSTANBUL AREL ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=oPoQwBsY5XW9D8Ouk5iKMw,"Mutallimova, S. (2014). Lise öğrencilerinde depresyon düzeyi ve anne baba tutumu arasındaki ilişkinin incelenmesi (Yüksek lisans tezi). İstanbul Arel Üniversitesi Sosyal Bilimler Enstitüsü, İstanbul."
691,1165219,16251981,strong,1.0,569172,Ebeveyn tutumları ile çocukların öz düzenlemeleri arasındaki ilişki incelenmesi,EDA UYKAN,2019,İSTANBUL AYDIN ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=XnPDLAIIIZnMFvi5sk1L8Q,"Uykan, E. (2019). Ebeveyn tutumları ile çocukların öz düzenlemeleri arasındaki ilişki incelenmesi (Yüksek lisans tezi). İstanbul Aydın Üniversitesi Sosyal Bilimler Enstitüsü, İstanbul."
700,1215894,18979958,strong,1.0,356679,Görsel sanatlar ders amaçlarının gerçekleşmesinde öğretmenlerinin karşılaştıkları sorunların incelenmesi: Ankara ili Gölbaşı ilçesi örneği,ESRA GÖÇMEN,2014,GAZİ ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=StYaI-e0v8ShCrdXw9NIuA,"Göçmen, E. (2014). Görsel sanatlar ders amaçlarının gerçekleşmesinde öğretmenlerinin karşılaştıkları sorunların incelenmesi (Ankara ili Gölbaşı ilçesi örneği) [Yayımlanmamış yüksek lisans tezi]. Gazi Üniversitesi."
709,1224320,19337186,no_match,0.0,,,,,,,"Işık, S. (2019). Dijital çağda kuşaklararası farklılıklar ve z kuşağı: Dijital yerliler ve dijital göçmenlerin teknoloji kullanım özelliklerine yönelik bir araştırma. Yüksek lisans tezi, Ege Üniversitesi, Sosyal Bilimler Enstitüsü, İzmir, Türkiye."
777,1354814,24797987,no_match,0.0,,,,,,,"Çeçen, H. (1996). Fıtnat Hanım hayatı-sanatı ve divanı inceleme-metin, Yayınlanmamış Yüksek Lisans Tezi, İnönü Üniversitesi, Sosyal Bilimler Enstitüsü: Malatya."
943,1375766,25640873,strong,0.994,287706,Türk basınında 1946-1950 dönemi Demokrat Parti'nin demokrasi konusundaki muhalefeti,AYŞE NUR MENEKŞE ÇALIKÇI,2000,İSTANBUL ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=dNQ03fiW4I72bfyZNQzq9A,"Menekşe, A.N. (2000), Türk basınında 1946-1950 dönemi Demokrat Parti’nin demokrasi konusundaki muhalefeti (Yayımlanmamış Yüksek Lisans Tezi). İstanbul Üniversitesi, Sosyal Bilimler Enstitüsü, İstanbul."
956,1277668,21282636,no_match,0.0,,,,,,,"Kaya E S, “Hanefi Mezhebinde Nevazil Literatürünün Doğuşu ve Ebu’l-Leys es-Semerkandî’nin Kitâbu’n-Nevâzil’i”, yayımlanmamış yüksek lisans tezi, Marmara Üniversitesi, Sosyal Bilimler Enstitüsü, İstanbul, 1996."
969,1196888,17719348,strong,0.933,634428,Mitos ile Logos aksında yaratılış kıssasının fenomenolojik analiz ve sentezi,RUKİYE KILIÇ,2020,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ / ,https://tez.yok.gov.tr/UlusalTezMerkezi/tezDetay.jsp?id=938x8MEVvu8FFbwbWP7T-Q,"Kılıç, Rukiye. Mitos İle Logos Aksında Yaratılış Kıssasının Fenomenolojik Analiz Ve Sentezi. Çanakkale: Onsekiz Mart Üniversitesi, Sosyal Bilimler Enstitüsü, Yüksek Lisans Tezi, 2020."
974,1154316,16126084,no_match,0.0,,,,,,,"UYSAL, Yavuz, Hakas Masalları(İnceleme-Metinler), Erciyes Üniversitesi Sosyal Bilimler Enstitüsü (Yayımlanmış Doktora Tezi), Kayseri 2014."
