sample_index,publication_id,reference_id,match_status,match_score,matched_source,matched_title,matched_author,matched_year,matched_publisher,matched_isbn,matched_url,raw_context
3,1310658,22786126,strong,1.0,openlibrary,Milli Bir Edebiyat Yaratabilir miyiz?,Nusret Safa Coskun,2018,,,https://openlibrary.org/works/OL26260861W,"Coşkun, Nusret Safa. Millî Bir Edebiyat Yaratabilir Miyiz?. Hazırlayan Şaban Özdemir. Ankara: Çolpan Yayınları, 2019."
4,1186783,17188825,no_match,0.0,,,,,,,,"Bozer Ali/Göle Celal, Kıymetli Evrak Hukuku, 9. Bası, Banka ve Ticaret Hukuku Araştırma Enstitüsü Yayınları, Ankara 2020."
10,1272759,21059412,strong,1.0,openlibrary,Modern Milliyetcilik ve Din,Salo Wittmayer Baron,2008,,,https://openlibrary.org/works/OL26406566W,"Baron, S. W. (2007). Modern milliyetçilik ve din. Açılım Kitap."
11,1272759,21059430,no_match,0.0,,,,,,,,"Kedourie, E. (1971). Avrupa’da milliyetçilik. Milli Eğitim Basımevi."
20,1379429,25746865,strong,1.0,openlibrary,Participatory Action Research,Robin McTaggart,1997,,,https://openlibrary.org/works/OL8358291W,"McTaggart, R. (Ed.). (1997). Participatory action research: International contexts and consequences. Suny Press."
21,1379429,25746888,possible,0.709,crossref_book,Twenty Questions about Precalculus,Steen Lynn Arthur,2006,The Mathematical Association of America,,https://doi.org/10.5948/upo9781614443025.004,"Steen, L. A. (1999). Twenty questions about mathematical reasoning. In L. V. Stiff and F. R. Curcio (Eds.), Developing Mathematical Reasoning in Grades K-12 (pp. 270-285). Reston, VA: National Council of Teachers of Mathematics."
25,1241401,19728759,no_match,0.0,,,,,,,,"Girsberger D und Hermann JL, Basler Kommentar, Obligationenrecht I (Art. 1-529 OR), Fünfter Titel: Die Abtretung von Forderungen und die Schuldübernahme (7. Auflage, Helbing Lichtenhahn Verlag 2020)."
28,1376353,25660388,strong,1.0,openlibrary,Stress and job performance,Steve M. Jex,1998,,,https://openlibrary.org/works/OL1908471W,"Jex, S. M. (1998). Stress and job performance: Theory, research, and implications for managerial practice. Sage Publications Ltd."
29,1376353,25660402,no_match,0.0,,,,,,,,"Yetim, A., & Cengiz, R. (2010). İletişim ve Spor. Berikan Yayınevi"
54,1188828,17270326,no_match,0.0,,,,,,,,"Ward, C. (1990). The child in the country. Bedford Square Press."
