sample_index,publication_id,reference_id,category,matched_id,doi,openalex_id,s2_id,similarity,matched_title,matched_year,venue,source,raw_context
21,1379429,25746888,book_or_chapter,OPENALEX:W94090572,,W94090572,,1.0,Twenty Questions about Mathematical Reasoning.,1999,,openalex_title_year_search,"Steen, L. A. (1999). Twenty questions about mathematical reasoning. In L. V. Stiff and F. R. Curcio (Eds.), Developing Mathematical Reasoning in Grades K-12 (pp. 270-285). Reston, VA: National Council of Teachers of Mathematics."
19,1185661,17184433,conference,OPENALEX:W3159940846,,W3159940846,,1.0,The Role and Use of Creative Practice in Research and its Contribution to Knowledge,2007,,openalex_title_year_search,"14. Niedderer, K., Roworth-Stokes, S., (2007), The role and use of creative practice in research and its contribution to knowledge. International Association of Societies of Design Research, IASDR07 Conference. 1–18, 12-15 November 2007, Hong Kong: Hong Kong Polytechnic University, p.15."
49,1320153,23381983,journal_like_left,OPENALEX:W2992105699,,W2992105699,,1.0,Searching for the Princess,1999,Harvard international review,openalex_title_year_search,"Tickner, J. A. (1999). Searching for the princess?. Feminist perspectives in international relations, Harvard International Review, 21 (4), 44-48."
46,1331693,23886292,journal_like_left,OPENALEX:W2122033029,,W2122033029,,1.0,Why Did I Ask That Question? Bilingual/ESL Pre-Service Teachers’ Insights,2012,ScholarWorks @ UTRGV (The University of Texas Rio Grande Valley),openalex_title_search,"Diaz, Z., Whitacre, M., Esquierdo, J. J., & Ruiz-Escalante, J. A. (2013). Why did I ask that question? Bilingual/ESL pre-service teachers’ insights. International Journal of Instruction, 6(2), 163–176."
77,1287910,22427162,thesis,10.34737/q56vv,10.34737/q56vv,W2938271679,,1.0,Ceramics Collections: exploring object engagement beyond the known historic models of clay practice,2018,WestminsterResearch (University of Westminster),openalex_title_year_search,"Twomey, C. (2018). Ceramics Collections-Exploring Object Engagement Beyond The Known Historic Models of Clay Practice. Westminster Üniversitesi Doktora Tezi"
139,1161423,16084284,other,10.21427/d7cf7r,10.21427/d7cf7r,W1560371066,,1.0,Structural Equation Modelling: Guidelines for Determining Model Fit,2008,Maynooth University ePrints and eTheses Archive (Maynooth University),openalex_title_year_search,"Hooper, D., Coughlan, J., and Mullen, M. R. (2008). Structural equation modelling: Guidelines for determining model fit. Electronic journal of business research methods, 6(1), (pp. 53-60)."
140,1161423,16084293,other,10.48460/mu.mural.00020283,10.48460/mu.mural.00020283,W2887229488,,1.0,The Impact of Organisational Culture Factors on Innovation Levels in SMEs: An Empirical Investigation.,2006,Maynooth University ePrints and eTheses Archive (Maynooth University),openalex_title_year_search,"Kenny, B., and Reedy, E. (2006). The impact of organisational culture factors on innovation levels in SMEs: An empirical investigation. Irish Journal of Management, 27(2). 1-17."
306,1348061,24529876,journal_like_left,OPENALEX:W3092812352,,W3092812352,,1.0,On local polynomial regression estimators in finite populations,2020,International Journal of Statistics and Applied Mathematics,openalex_title_year_search,"[37] Kikechi, C. B. (2020). On local polynomial regression estimators in finite populations. Int. J. Stats. Appl. Math, 5, 58-63."
322,1365738,25271092,book_or_chapter,10.1017/s0048840200020128,10.1017/s0048840200020128,W2773890426,,0.8127,"Robert A. Dahl, Polyarchy. Participation and Opposition, New Haven, Yale University Press, 1971, pp. 257 [$ 2.75].",1973,Italian Political Science Review/Rivista Italiana di Scienza Politica,openalex_title_search,"Dahl, Robert A. (1971). Polyarchy: participation and opposition, New Haven: Yale University Press."
355,1315322,23103410,journal_like_left,OPENALEX:W2975061840,,W2975061840,,1.0,THE IMPACT OF INNOVATION AND SMART GOVERNMENT ON HAPPINESS: PROPOSING CONCEPTUAL FRAMEWORK,2018,International Journal of Management and Human Sciences,openalex_title_year_search,"Shamsi, R. S. H. A., Ameen, A. A., Isaac, O., Al-Shibami, A. H., & Khalifa, G. S. (2018). The impact of innovation and smart government on happiness: Proposing conceptual framework. International Journal of Management and Human Scienc, 2(2), 10-26."
367,1247129,20046294,book_or_chapter,OPENALEX:W620911523,,W620911523,,1.0,Behavioral Finance and Wealth Management: How to Build Optimal Portfolios That Account for Investor Biases,2006,,openalex_title_year_search,"Pompian, M. (2006). Behavioral Finance and Wealth Management: How to Build Optimal Portfolios that Account for Investor Biases. USA: John Wiley & Sons, Inc."
360,1275970,21378640,other,OPENALEX:W1708785370,,W1708785370,,1.0,Exact Theory of Two-dimensional Self-focusing and One-dimensional Self-modulation of Waves in Nonlinear Media,1970,Journal of Experimental and Theoretical Physics,openalex_title_search,"[6] Shabat, A., & Zakharov, V. (1972). Exact theory of two-dimensional self-focusing and one-dimensional self-modulation of waves in nonlinear media. Soviet Physics JETP, 34(1), 62."
426,1237032,19599047,journal_like_left,10.17782/ka.63441,10.17782/ka.63441,W2514364565,,1.0,Yerel Demokrasinin İlkeleri,2008,DergiPark (Istanbul University),openalex_title_year_search,"Yaylı, H., & Pustu, Y. (2008). Yerel demokrasinin ilkeleri. Karadeniz Araştırmaları Dergisi, 16(16), 133-153."
430,1223558,19318952,other,OPENALEX:W2576488104,,W2576488104,,0.954,BIOLOGICAL CHARACTERIZATION OF PAKISTANI ISOLATES OF CUCUMBER MOSAIC CUCUMOVIRUS (CMV),2011,Pakistan Journal of Botany,openalex_title_year_search,"Iqbal, S., Ashfaq, M., & Shah, H. (2011). Biological characterization of Pakistani isolates of Cucumber mosaic virus (CMV). Pakistan Journal of Botany, 43(6)."
448,1223777,19325027,report_policy_legal,OPENALEX:W2412817241,,W2412817241,,1.0,ASSESSMENT OF PRE AND POST HARVEST LOSSES OF RICE AND RED GRAM IN KARNATAKA,2013,,openalex_title_year_search,"Kannan, E., Kumar, P., Vıshnu, K. and Abraham, H. (2013). Assessment of pre- and post-harvest losses of rice and red gram in Karnataka. Agricultural Development and Rural Transformation Centre Institute for Social and Economic Change Bangalore- 560 072. Research Report: IX/ADRTC/153."
449,1223777,19325030,journal_like_left,OPENALEX:W2771123137,,W2771123137,,1.0,African Leafy Vegetables Pre-harvest and Post-harvest constrains and Technologies for losses reduction along the field to consumer chain,2017,,openalex_title_year_search,"Kirigia, D., Kasili, R. and Mibus, H. (2017). African leafy vegetables pre-harvest and post-harvest constrains and technologies for losses reduction along the field to consumer chain. African Journal of Horticultural Science, 12: 51-60."
461,1239415,19652190,other,OPENALEX:W603203347,,W603203347,,1.0,"Special Educational Needs, Inclusion and Diversity",2009,Medical Entomology and Zoology,openalex_title_year_search,"Cline, T., & Frederickson, N. (2009). Special educational needs, inclusion and diversity. McGraw-Hill Education (UK)."
479,1264523,20688970,other,10.1017/9781108692878,10.1017/9781108692878,W4211003961,,0.8739,The World Health Organization,2019,Cambridge University Press eBooks,openalex_title_year_search,1. World Health Organization. Suicide Worldwide in 2019: Global Health Estimates.
623,1278168,21436106,journal_like_left,OPENALEX:W2112840185,,W2112840185,,1.0,The Effect of Sustainability Reporting on Financial Performance: An Empirical Study Using Listed Companies,2010,Research Commons (University of Waikato),openalex_title_year_search,"[30]Reddy, K & Gordon, L.W. (2010). The effect of sustainability reporting on financial performance: An empirical study using listed companies. Journal of Asia Entrepreneurship and Sustainability, 6(2), 19-42."
598,1357591,24914429,journal_like_left,S2:3f2d44c52f853a5a1eba8bad8f4e171e9d0bf64c,,,3f2d44c52f853a5a1eba8bad8f4e171e9d0bf64c,1.0,Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi,2004,,semantic_scholar_graph_search,"Kayalıdere, K. & Kargın, S. (2004). Çimento ve Tekstil Sektörlerinde Etkinlik Çalışması ve Veri Zarflama Analizi. Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 6(1), 196-219."
628,1232718,19396528,journal_like_left,OPENALEX:W1627259337,,W1627259337,,1.0,Private Talk in the Public Sphere: Podcasting as Broadcast Talk,2009,Maynooth University ePrints and eTheses Archive (Maynooth University),openalex_title_year_search,"Jarret, K. (2009). Private talk in the public sphere: Podcasting as broadcast talk. Communication, Politics & Culture, 42(2), 116-135."
665,1226160,19038052,journal_like_left,OPENALEX:W3138794030,,W3138794030,,1.0,Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece,2013,,openalex_title_year_search,"Paleologos, E., & Mertikas, S. (2013). Evidence and implications of extensive groundwater overdraft-induced land subsidence in Greece. European Water, 43, 3–11."
