sample_index,publication_id,reference_id,stq_doi,pipeline_doi
86,1208772,18295773,10.1002/art.39480,10.21608/ejrci.2015.4481
171,1300315,22381783,10.21605/cukurovaumfd.1230955,10.1109/dasa54658.2022.9765024
189,1264243,23208687,10.1002/etc.5620190926,10.1897/1551-5028(2000)019<2341:pottom>2.3.co;2
494,1198664,17845118,10.70249/9798893981445,10.2307/1005721
699,1213000,18787165,10.2139/ssrn.966320,10.2139/ssrn.1102265
759,1377120,25681613,10.4135/9781412985437,10.4135/9781412985437.n4
771,1332521,24698537,10.1007/978-3-030-80519-7,10.3926/oss.37
809,1209559,18340180,10.1007/978-3-663-10626-5_23,10.1177/026327640201900101
914,1319239,24103514,10.5465/amr.1995.9508080329,10.2307/258786
923,1336552,24550827,10.1093/acprof:osobl/9780199562336.003.0017,10.2307/631643
965,1220497,18785572,10.1080/03004430.2012.673488,10.1080/00131881.2011.625153
1049,1305653,23710921,10.14527/9786052410196.05,10.14527/9786052410196
1098,1253831,20246259,10.1016/j.jcin.2016.04.031,10.1371/journal.pone.0103850
1143,1352504,24706172,10.1109/igarss.2012.6351959,10.5194/isprsarchives-xxxix-b1-197-2012
1206,1268600,20854558,10.1061/ajrua6.0000825,10.1061/ajrua6.0000809
1221,1214007,19089721,10.1007/s10661-023-11321-7,10.21203/rs.3.rs-2537230/v1
1358,1325218,24354018,10.1056/nejmoa1011418,10.1016/j.yonc.2011.07.022
1368,1228121,19312982,10.1007/978-3-642-12541-6,10.1007/978-3-662-56707-4
1429,1245397,20833870,10.30927/ijpf.463825,10.4324/9781315718729-33
1458,1316089,23148307,10.3897/pharmacia.71.e113854,10.3897/pharmacia.71.e113854.figure8
1471,1193330,17542013,10.1155/2011/250763,10.1016/j.amc.2014.06.097
1610,1211463,19124679,10.1037/0021-843x.103.1.44,10.1037//0021-843x.103.1.44
1713,1231679,19336892,10.4135/9781452229645.n18,10.4135/9781452229645
1902,1177039,16737699,10.1016/j.jclinepi.2007.11.008,10.1007/s10049-008-1057-1
1983,1197679,19512302,10.1093/ageing/afn019,10.1093/ageing/afn274
2089,1368603,25874397,10.1007/978-3-319-23162-4_2,10.1007/978-3-319-23162-4
2771,1323113,24789313,10.1037/0022-3514.51.6.1173,10.1037//0022-3514.51.6.1173
2963,1219571,19130477,10.1057/9780333983584,10.5860/choice.37-0431
3038,1248954,20024604,10.3366/edinburgh/9780748622276.003.0001,10.1515/9780748643271-003
3051,1183659,17052814,10.1016/s0022-5347(01)65281-9,10.1097/00005392-199701000-00018
3187,1185850,17142700,10.33400/kuje.843306,10.1016/j.tourman.2020.104080
3208,1279141,21362199,10.4314/sajas.v43i3,10.4314/sajas.v43i3.
3296,1389218,26073400,10.2308/aud.2002.21.1.147,10.1108/978-1-78743-413-420181008
3330,1193342,17543998,10.1097/jto.0b013e318206a221,10.1097/jto.0b013e318224643b
3355,1298683,23253933,10.19126/suje.646463,10.22139/jobs.1059519
3515,1160507,17213301,10.1097/01.blo.0000136651.21191.9f,10.1097/01
3944,1329786,23798617,10.1210/jcem.79.5.7962324,10.1210/jc.79.5.1322
4022,1347314,24499928,10.1007/s11250-022-03316-2,10.21203/rs.3.rs-1562772/v2
4054,1175079,16663047,10.1161/circulationaha.120.047270,10.1161/circulationaha.119.043785
4066,1219251,21590470,10.1039/9781847551986-00069,10.1039/9781847551986
4323,1177296,16745180,10.23812/20-1-e,10.23812/conti-e
4379,1277042,21259497,10.7551/mitpress/6444.001.0001,10.7551/mitpress/6444.003.0013
4381,1277042,21259514,10.1016/s1574-0048(99)01004-6,10.3386/w6528
4421,1389822,26097883,10.1093/ejil/10.1.144,10.1093/acprof:oso/9780199232918.003.0025
4622,1247827,20073186,10.1145/800265.810742,10.1177/003754976400200514
4846,1340321,24208705,10.1257/002205102320161320,10.1257/jel.40.2.402
4960,1370836,25461546,10.4324/9780203927229,10.4324/9781351202558-38
5049,1279618,21391732,10.1213/01.ane.0000290294.64090.f3,10.1097/01.aoa.0000326425.48701.14
5465,1365734,25271007,10.3113/fai-2009-0167,10.3113/fai.2009.0167
5687,1306843,22632882,10.1038/s41586-024-08464-z,10.1038/s41586-024-08080-x
5722,1329079,23766236,10.29228/asrjournal.68734,10.29228/sssj.68506
