sample_index,publication_id,reference_id,reference_order,source_crossref_status,source_doi,stq_doi,stq_found,context
1,1353445,24744304,2,no_doi,,10.1001/jamasurg.2016.0717,True,"2. Balentine CJ, Naik AD, Berger DH, Chen H, Anaya DA, Kennedy GD. Postacute Care After Major Abdominal Surgery in Elderly Patients. JAMA Surg. 2016;151(8):759-766."
2,1353445,24744305,3,no_doi,,10.1016/j.jamcollsurg.2015.02.029,True,"3. Sacks GD, Lawson EH, Dawes AJ, Gibbons MM, Zingmond DS, Ko CY. Which patients require more care after hospital discharge? an analysis of post-acute care use among elderly patients undergoing elective surgery. J Am Coll Surg. 2015;220(6):1113-1121, e2."
3,1310658,22786126,14,no_doi,,,False,"Coşkun, Nusret Safa. Millî Bir Edebiyat Yaratabilir Miyiz?. Hazırlayan Şaban Özdemir. Ankara: Çolpan Yayınları, 2019."
4,1186783,17188825,15,no_doi,,,False,"Bozer Ali/Göle Celal, Kıymetli Evrak Hukuku, 9. Bası, Banka ve Ticaret Hukuku Araştırma Enstitüsü Yayınları, Ankara 2020."
5,1186783,17188890,80,no_doi,,,False,"Yeşilova Aras Ece, “Yük Senedinin (Ttk M. 859) Türk Ticaret Kanunu’nda Yeniden Yer Alması, Karayolu Taşımacılığında Kıymetli Evraka İmkan Verilmesi Midir?”, Legal Hukuk Dergisi, C. 11, S. 123, Y. 2013, s. 49 65."
6,1368239,25368275,8,no_doi,,10.1080/13683500.2011.568057,True,"Almeida, M. (2011). The development of social tourism in Brazil. Current Issues in Tourism, 14(5), 483–489."
7,1368239,25368331,64,no_doi,,,False,"Tanğ, E. (2017). Türkiye’de 1923–1950 dönemi ulus devlet yapılanması ve gençlik politikaları [Nation-state formation and youth policies in Turkey during 1923–1950] (Unpublished master’s thesis). Balıkesir Üniversitesi, Sosyal Bilimler Enstitüsü, Sosyoloji ABD, Balıkesir."
8,1341641,24271721,18,no_doi,,10.1542/peds.45.5.850,True,"Stocker FP, Czoniczer G, Massell BF, Nadas AS. Transient complete A-V block in two siblings during acute rheumatic carditis in child-hood. Pediatrics. 1970;45(5):850-856. [CrossRef]"
9,1341641,24271733,30,no_doi,,,False,"Güler M, Laloğlu F, Olgun H, Ceviz N. Clinical characteristics of pediatric patients with first-attack acute rheumatic fever follow-ing the updated guideline. Turk Pediatri Ars. 2019;54(4):220-224. [CrossRef]"
10,1272759,21059412,8,no_doi,,,False,"Baron, S. W. (2007). Modern milliyetçilik ve din. Açılım Kitap."
11,1272759,21059430,26,no_doi,,,False,"Kedourie, E. (1971). Avrupa’da milliyetçilik. Milli Eğitim Basımevi."
12,1272759,21059448,44,no_doi,,,False,"Rocker, R. (2019). Milliyetçilik ve kültür. Kaos."
13,1312602,22900134,45,no_doi,,,False,"Roth, C. E. (1968). On the Road to Conservation. Massachusetts Audubon, 38-41."
14,1344934,25110399,29,no_doi,,10.1055/s-0038-1636539,True,"29. Liu P, Zhang Z, Liao C, et al. Dynamic quantitative assessment of motor axon sprouting after direct facial-hypoglossal end-to-side neurorrhaphy in rats. J Reconstr Microsurg. 2018;34:436-45."
15,1190935,17371116,7,found,10.1016/s1097-2765(02)00599-3,10.1016/s1097-2765(02)00599-3,True,"7. Martinon F, Burns K, Tschopp J. The inflammasome: a molecular platform triggering activation of inflammatory caspases and processing of proIL-beta. Molecular Cell 2002; 10 (2): 417-426. doi: 10.1016/s1097-2765(02)00599-3"
16,1340886,24230243,18,found,10.3109/16066359.2011.555022,10.3109/16066359.2011.555022,True,"Lyons, G., Deane, F. P., Caputi, P., & Kelly, P. J. (2011). Spirituality and the treatment of substance use disorders: An exploration of forgiveness, resentment and purpose in life. Addiction Research & Theory, 19(5), 459–469. https://doi.org/10.3109/16066359.2011.555022"
17,1311311,22813337,1,no_doi,,,False,"Adobe Video & Motion. (2024, 15 April). Generative AI in Premiere Pro powered by Adobe Firefly | Adobe Video [Video]. Retrieved from https://www.youtube.com/watch?v=6de4akFiNYM on May 16, 2024."
18,1271951,21205494,23,no_doi,,10.1016/j.jdent.2010.07.001,True,"23. Chu SJ, Trushkowsky RD, Paravina RD. Dental color matching instruments and systems. Review of clinical and research aspects. J Dent. 2010;38:2-16."
19,1185661,17184433,14,no_doi,,,False,"14. Niedderer, K., Roworth-Stokes, S., (2007), The role and use of creative practice in research and its contribution to knowledge. International Association of Societies of Design Research, IASDR07 Conference. 1–18, 12-15 November 2007, Hong Kong: Hong Kong Polytechnic University, p.15."
20,1379429,25746865,58,no_doi,,,False,"McTaggart, R. (Ed.). (1997). Participatory action research: International contexts and consequences. Suny Press."
